"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",-0.00208828314706015,-0.00632070327533614,-0.00588676927825776,-0.00194264502482942,0.00517882907051244,0.00163634540607327,0.00245521211785408,-0.00368725936837325,-0.00590278973252135,-0.00221674123380095,0.00452947911787965,-0.00254336106486166,-0.00259948355863063,0.00593855334037894,0.00241416795066277,-0.000394336944848877,-0.00257762334258299,0.00107495954421908,-0.00615588204975009,0.000235383049381267,0.00334739498536834,0.00444725658093619,-0.000705579063655283,-0.00496327555922966,0.0026559513020796,0.00826744016613766,0.00255124140846007,-0.00354881280227363,-0.00674373637508139,0.0025974303287317
"T+2",0.000646158253984103,-0.00433290657717895,-0.000718624231523935,-0.000154824852690448,0.000381961964243136,0.00199420287018106,0.00242158743530669,-0.00131739983515536,0.00337849987240535,-1.83929799996345e-05,0.00138086027956124,-0.00216650077181115,0.00037165192008789,-0.00426302551293723,0.00261969477414205,0.000974732073503756,-0.000197669997261671,0.00050941393919095,-0.0031525082129295,0.00103806509491743,0.000900071611766595,-0.00249768325011801,0.000649495755335426,0.000865616558329925,0.00117515987662612,-0.0105661767946459,0.00234446301427032,0.00210930237983895,-0.00561755533351937,-3.28175099313392e-05
"T+3",-0.000458551116180307,-0.00283832337703873,-0.000885378863963796,-0.000460367422084834,0.00182272516251089,0.00195217666144856,0.00232077368540477,-0.000980070621344763,-0.00211310731577682,-0.00165699880160127,3.03856668250248e-06,-0.00185055378336066,0.000330631139013583,0.00398635309128251,0.00222999571831655,0.000719803995299193,-0.000419083304410684,0.000170895445971472,-0.00377169490701771,0.000465972323079552,0.00121596809964971,0.00380522191802276,0.000133437849349683,-0.000536084057312523,0.000684562489504643,0.00559658735306963,0.00224156825965907,0.000966304791623368,-0.0052003398542137,0.000242019690564998
"T+4",-2.53008161425908e-05,-0.00183995531070058,-0.00021163984557802,-0.000304079165143729,0.00181732702828059,0.00192330605025424,0.00223308094905504,-0.00056703202045252,0.00157254272074624,-0.000645715049706974,0.00185653240058735,-0.00157957389525955,0.000671769216312183,-0.00259507560353264,0.00186731738793965,0.000748380006583324,-0.000296007443417329,0.000120072361873892,-0.00360174977250182,0.000310059963697312,0.00122929105342952,-0.00200236308620232,0.000187415769706223,0.0002498578893127,0.000591895675872177,-0.00949898129369609,0.00214849984295503,0.00101717565205034,-0.00481123063170516,0.000336733502157048
"T+5",-0.000195857886857043,-0.00116273734729428,-3.28813348621503e-06,-0.000357387960709889,0.00174165400349331,0.00189488284330082,0.00215774293080686,-0.000257474159708698,-0.000827139238561794,-0.00130898562728166,0.000104985507029292,-0.00134763780210241,0.000819189223658434,0.00265505658988402,0.00156047874068231,0.000741041112139807,-0.000291666300015419,0.000117760506346983,-0.00360416488016283,0.000227083957611043,0.00121581759470054,0.00334748818145603,0.000170100049679306,-4.62312016431756e-05,0.000597473970883092,0.00463168424052952,0.00206289017535826,0.000906082188973072,-0.00447079129312266,0.00020704180372694
"T+6",-0.000128747532299684,-0.000704319102425174,0.000163754463846292,-0.000336927265034852,0.00175562833911253,0.00186727324665052,0.00209303325531068,-1.3214189905705e-05,0.000746302731926956,-0.000882775225794535,0.0016873159690773,-0.00114908352790731,0.00092631268741739,-0.00153307082774653,0.00130262470047586,0.000741422044788255,-0.000282868263537367,0.000118398221038255,-0.00356938604380776,0.000190529196595824,0.00121829876156969,-0.00158072654614666,0.00017217652157775,8.52910039059021e-05,0.000610512347064336,-0.00859651432710107,0.00198411465297237,0.00085008077935689,-0.00417208006971458,0.00031989646309723
"T+7",-0.000155155589926132,-0.000393922265251825,0.000250736763336521,-0.000344488341831296,0.00175712661598142,0.00184044266076,0.00203745274261811,0.000178270612094521,-0.000283684624850246,-0.00115851858660304,0.000268045477491635,-0.000979109319979527,0.000991999193867324,0.00180787573903678,0.001086044016349,0.000741163593961078,-0.000281225801013568,0.000118564787096702,-0.00354308009849062,0.000173693630262339,0.00121821089032702,0.00295908167541201,0.000171589481262965,3.09765904880442e-05,0.000616671738939407,0.00378687219603852,0.00191162721629731,0.000805152671285804,-0.00391001691796912,0.00022818946653537
"T+8",-0.000144764050277984,-0.000183759285082652,0.000304313269617204,-0.000341660930235763,0.00175611217687042,0.001814369453119,0.001989713464814,0.000328504230318285,0.000390812851928074,-0.00098052530476409,0.00153956853864798,-0.000833601126836099,0.00103430097402768,-0.000857259021278004,0.000904137116008353,0.00074115151682051,-0.000280391600767349,0.000118582256550438,-0.00351529036433885,0.00016602488761659,0.00121814689179303,-0.00122293145721385,0.000171667563121744,5.41229914446107e-05,0.000618442886678117,-0.00780565619710949,0.00184492592334053,0.00077315353764969,-0.00368010418522329,0.000301685680907605
"T+9",-0.000148853113138294,-4.14617520636776e-05,0.000335063161961612,-0.00034271428202402,0.00175621595162028,0.00178903223365894,0.00194870918953822,0.000446361486300334,-5.08487682567105e-05,-0.00109550710989221,0.000400631917932751,-0.000709037337081667,0.00106114380236864,0.00126876818348298,0.000751353282314944,0.000741139692331213,-0.000280154571077866,0.000118581998331001,-0.00348818294232295,0.000162522262339603,0.00121816373917935,0.00262948542640832,0.000171647486473819,4.43933824111831e-05,0.000618688401646733,0.00304652179329897,0.00178354890825455,0.000749747050267624,-0.00347839765191895,0.000242957528877374
"T+10",-0.00014724407026064,5.48852539937925e-05,0.000353228742783404,-0.000342321395246768,0.00175625115036631,0.0017644102274116,0.00191348975036374,0.000538820859639349,0.000238357787625605,-0.00102124867939823,0.0014207749776871,-0.000602403218656109,0.00107825208325475,-0.000427202970654802,0.000623029975874055,0.000741137937133334,-0.000280062947574727,0.000118581584169479,-0.00346128190346793,0.000160923533390676,0.00121816222200926,-0.000919311618115288,0.000171650377175478,4.85076553841638e-05,0.000618622036239728,-0.00711258786287855,0.00172707117275528,0.000732731424837824,-0.00330143691721794,0.000289855309145914
"T+11",-0.000147877227322464,0.000120120021204722,0.00036383270266319,-0.000342467882912291,0.00175623926301517,0.00174048324549257,0.00188323902925182,0.000611355404763625,4.89819925335777e-05,-0.00106921083046487,0.00050703983322742,-0.000511117980603216,0.00108914174623259,0.000925704531763924,0.000515251094314216,0.000741137267695721,-0.000280033173188254,0.000118581512894824,-0.00343468717107593,0.000160193694796438,0.00121816198744939,0.00234979472309101,0.000171649685549768,4.6772390352514e-05,0.000618560706862019,0.00239771588421453,0.00167510164307612,0.000720344086724515,-0.00314618611252533,0.000252409872133751
"T+12",-0.000147628080534875,0.000164289269152199,0.000370053159372894,-0.000342413258706545,0.00175623954051465,0.00171723166891531,0.00185725604516006,0.000668258897197703,0.000172987594339919,-0.00103823382210419,0.00132546543216725,-0.000432972310059979,0.00109607588585037,-0.000153534761684679,0.000424727497169343,0.000741137124652991,-0.000280022533428522,0.00011858150838227,-0.00340837320635889,0.000159860528230455,0.00121816208921878,-0.000661664127903907,0.00017164979139365,4.75050925873754e-05,0.000618536126225085,-0.00650521758367811,0.00162728046201782,0.000711329092583601,-0.0030099818161367,0.000282307224482417
"T+13",-0.000147726119592679,0.000194195445735133,0.000373694786866091,-0.000342433626939232,0.00175624012273633,0.00169463643249319,0.00183493871064711,0.000712899797171752,9.17872216190382e-05,-0.00105824092982744,0.00059240797019696,-0.000366074901948246,0.00110049077663091,0.000707394348724634,0.000348696631746307,0.00074113708208856,-0.000280018927315053,0.000118581509041369,-0.00338234185434661,0.00015970843836566,0.00121816207496272,0.0021124531581949,0.000171649767425307,4.7195866171083e-05,0.000618530075451632,0.00182913497135465,0.00158327649715747,0.000704767854711794,-0.00289048736075253,0.000258436598997181
"T+14",-0.000147687541303359,0.00021444436187399,0.000375828479646698,-0.000342426031960698,0.00175624000266545,0.00167267900920728,0.00181576988007692,0.000747920669726124,0.000144958214286004,-0.00104531898713682,0.00124900183857062,-0.000308806685027705,0.00110330178730536,2.06153019927983e-05,0.000284838227095349,0.000741137071711929,-0.00028001766888147,0.000118581509258045,-0.00335658903180626,0.000159639009817266,0.001218162074652,-0.00044302812108266,0.000171649771269989,4.73263985043145e-05,0.000618529623949614,-0.00597294877577043,0.00154278504795904,0.000699992578057368,-0.00278565274652848,0.00027749534288273
"T+15",-0.000147702721828756,0.00022815452651754,0.000377078216358312,-0.000342428863992878,0.00175623999340843,0.00165134139501509,0.00179930536612632,0.000775394612113669,0.000110141201445625,-0.00105366485983376,0.000660895818659911,-0.000259781636646456,0.00110509157082429,0.000568471627591597,0.000231203485180024,0.000741137068868695,-0.000280017236781594,0.000118581509284345,-0.00333111198694049,0.000159607315882885,0.00121816207519692,0.00191104847166364,0.000171649770435348,4.72713025865989e-05,0.000618530051745972,0.00133085921593673,0.0015055257359086,0.000696517112097143,-0.00269367947208515,0.0002622784977456
"T+16",-0.000147696748304388,0.000237437424094056,0.000377810310442357,-0.000342427807977334,0.0017562400014706,0.00163060609408809,0.00178516364690997,0.000796947973160771,0.000132939805091821,-0.00104827452736083,0.00118765780517136,-0.000217813237802843,0.0011062311378225,0.000131436521574721,0.000186155608458908,0.000741137068142064,-0.000280017087078407,0.000118581509284671,-0.00330590771676721,0.000159592847694319,0.00121816207508893,-0.000257496705893935,0.000171649770574185,4.72945587578551e-05,0.000618530323285341,-0.00550649512538039,0.00147124056306459,0.000693987656044674,-0.00261298968012625,0.000274427900801323
"T+17",-0.000147699098881357,0.000243722701452608,0.000378239145039504,-0.000342428201747023,0.00175624000050486,0.00161045610446598,0.00177301702521229,0.000813856626672204,0.000118011002032749,-0.00105175597124641,0.000715841192162338,-0.000181885756654854,0.00110695670699089,0.00048006749463581,0.000148319848937876,0.000741137067948564,-0.000280017035469967,0.00011858150928418,-0.00328097331162262,0.000159586243008218,0.00121816207509414,0.0017401393105375,0.000171649770545008,4.72847424218732e-05,0.000618530417456257,0.000894195369469423,0.00143969212557996,0.00069214670885574,-0.00254219908833993,0.000264727598849339
"T+18",-0.000147698173931236,0.000247978345894261,0.000378490347117421,-0.000342428054917191,0.00175624000025062,0.00159087490411588,0.00176258403496482,0.000827121498120564,0.000127786563917021,-0.00104950741772383,0.00113844366160351,-0.000151129665471843,0.00110741868137643,0.00020195813064154,0.000116541554316006,0.000741137067898279,-0.000280017017629561,0.000118581509284082,-0.00325630587966628,0.000159583227988203,0.00121816207509663,-0.00010005737775036,0.000171649770549999,4.72888858891709e-05,0.000618530436633838,-0.00509771857351465,0.00141066196982576,0.000690806860953645,-0.00248009324119621,0.000272472494400997
"T+19",-0.000147698537898355,0.000250859763623444,0.000378637494422582,-0.000342428109667466,0.00175624000034798,0.00157184643738507,0.00175362291900906,0.000837527815478864,0.000121385407054618,-0.00105095968671731,0.000759921917660907,-0.000124800596062239,0.00110771282330606,0.000423811105040762,8.98509308989426e-05,0.000741137067885021,-0.000280017011471739,0.000118581509284074,-0.0032319025629261,0.000159581851640324,0.00121816207509591,0.00159510821985181,0.000171649770548976,4.72871369408361e-05,0.000618530436284829,0.000511525105587719,0.00138394907973337,0.000689831714881044,-0.00242560667522595,0.000266288830493957
"T+20",-0.00014769839467759,0.000252810717995664,0.000378723689642492,-0.000342428089252046,0.0017562400003439,0.00155335510183607,0.00174592602700898,0.00084569159161369,0.000125576962451902,-0.00105002171250437,0.00109896089873157,-0.000102261324350147,0.00110790010528448,0.00024683489128481,6.74334479324025e-05,0.000741137067881555,-0.000280017009344501,0.000118581509284075,-0.00320776053339721,0.000159581223341515,0.00121816207509599,3.35434036649398e-05,0.000171649770549155,4.72878751691015e-05,0.000618530434004714,-0.00473948733400023,0.00135936848488126,0.000689122000100037,-0.00237780464034893,0.000271225978975164
"T+21",-0.000147698451034844,0.000254131672928346,0.000378774180566168,-0.000342428096864599,0.00175624000033946,0.00153538573545345,0.00173931500369967,0.000852096089812699,0.000122832280978518,-0.00105062752012632,0.00079528632118113,-8.29663480861463e-05,0.00110801934887285,0.000388012084514734,4.86049801704302e-05,0.000741137067880645,-0.000280017008609984,0.000118581509284075,-0.00318387699349228,0.000159580936524934,0.00121816207509599,0.0014720368927978,0.000171649770549119,4.72875635643386e-05,0.000618530432859008,0.000176172105690909,0.00133674997968792,0.000688605467157091,-0.00233586706366935,0.000267284070829572
"T+22",-0.000147698428858311,0.000255026066953661,0.000378803756860031,-0.000342428094026011,0.00175624000034048,0.00151792360421164,0.00173363665597235,0.000857120431061614,0.000124629531802216,-0.00105023624830927,0.001067285277641,-6.64486844373873e-05,0.00110809527199967,0.000275392430916743,3.2790930092071e-05,0.000741137067880406,-0.000280017008356296,0.000118581509284075,-0.00316024917554779,0.000159580805593997,0.00121816207509599,0.000146915132350808,0.000171649770549126,4.72876950921589e-05,0.000618530432513672,-0.00442555146762456,0.00131593694484237,0.000688229532643323,-0.00229907448062807,0.00027043136119107
