"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+1",0.0027090417274545,0.00303606331531097,0.00181456246830126,0.00499371396150123,0.00013457526234819,-0.00173039446177065,0.00154197821726935,0.00364894440674692,-0.000417197492029547,0.000299779731195089,-0.000265271690996925,0.00273349749291748,-0.00105014377010106,-0.000398216310836715,-0.00113110900157236,0.00137011748820053,-0.00161447453044345,-0.00101627950254311,0.000495382575986029,-0.00337715387152234,0.00512330988755904,0.0013566867811795,-0.00282683844565487,0.00438413958894053,-0.00214931756835689,-0.000809458151475573,0.00108449419392875,0.0011192363136229,-0.00143949417653809,-0.00207521503019877
"T+2",0.000911372291927077,-0.00321249549146371,0.00127528426361727,0.000409704897543653,-1.77715734145624e-05,0.00157755875960352,-0.00611008598853001,-0.00194823679537675,0.00279582634528501,-0.00115303514502203,-6.44455620840695e-05,0.00111799199295282,2.31272571008121e-05,-0.000172615221406251,-0.000713407437703581,0.000295733953498509,0.00140071719086479,0.00159873687887153,0.000425961381318075,0.000716372546571217,-0.00305863309342819,0.00175928757841794,-0.00381289323866185,0.00403499414209537,0.001130135456802,-0.00109171600291128,-0.00115950985597091,-0.000468545823952159,-0.00277265517415895,0.0043340870112042
"T+3",0.00116924290665833,0.00103023212435938,0.00317530093979323,0.000354356525145589,0.000529559684113198,-0.0010357905737151,-0.00599838108863971,0.00148049612957888,-6.24473946739582e-05,-0.000724459275612323,0.000474661273301534,0.0010383030771416,0.00145379683892794,0.000754254397680286,0.00269421883655825,0.000113176305281603,-0.0010035702592206,0.000990948810977752,0.000360841976720488,-0.000589923836906316,0.00415988980050555,0.00112499586479459,-0.0035962583785778,0.00378320297252402,0.000591238322493891,0.00113506619263899,0.00284967810071559,0.00108645359579019,0.00206735738065009,-0.00215133062920498
"T+4",0.000830307870676825,0.00201077789707599,0.00289189194385293,0.00100737584822415,0.000650782837518059,0.00103992129229591,-0.00417982651846421,0.00136415575604244,0.00270984689916577,-0.000454328722660085,0.000317301651280224,0.00105493515774119,0.000949061097011519,0.000274862710123852,0.0016261469280486,9.17327136621611e-05,0.000941428011242824,0.00134371911538243,0.00031140770727365,-0.00030460122312133,-0.00236011977499778,0.0015533893285462,-0.0033266056434641,0.00355254998969496,0.000684452741992553,0.000242416354270277,0.000595825015929424,0.00123563161616733,0.000842557259703861,0.00438014113151749
"T+5",0.00113193612477593,0.00120469452287617,0.0027105374891442,0.00156494992382947,0.000636441731542712,-0.000608817013409069,-0.00278144390234007,0.00100547475493665,1.8279149947182e-05,-0.000358506578739705,0.000336630319737781,0.00107583973285301,0.000961988615166376,0.000375027486886636,0.001423082333439,9.90529351578498e-05,-0.000632686039579358,0.00106331720128009,0.000274151430575245,-0.000305016427475069,0.00352818804887974,0.00125790682023224,-0.00307124973017344,0.00334389375834388,0.000665681391158155,0.000342631507417279,0.00145990471688262,0.00108372326049612,0.000338798668128676,-0.00219790692789788
"T+6",0.00085602832286152,0.0010559215669737,0.00277874599917518,0.00193416014217058,0.00062495545181669,0.000700776409629657,-0.00209812855778467,0.00109622815264644,0.00263149943800741,-0.000331056126964999,0.000338312541338477,0.00109528502078318,0.00100438172966024,0.000394562962269318,0.00164528672894427,0.000111177428621012,0.000641282038617792,0.00129703113569965,0.000246080916002891,-0.000347582463869261,-0.00178962541373044,0.00146156002427121,-0.00283301916980741,0.00315502527155137,0.000670890813730984,0.000409711039046935,0.00123376283448942,0.00106972762315383,0.000712696075617957,0.0044270483328862
"T+7",0.00110783448383697,0.00120770741227701,0.00278848129294811,0.00215954002149577,0.000623654673739088,-0.000339434113895705,-0.00187954838789241,0.00111672066963024,9.43457328987836e-05,-0.000324213280429663,0.000336989149056743,0.00111305516821551,0.000991148375058017,0.000370947323014792,0.00161064434970701,0.000123780726121885,-0.00038977111123263,0.00110109834299296,0.000224931583177921,-0.000318189353230222,0.00301296656212144,0.00132119384318776,-0.00261097604073632,0.00298407273303833,0.000668782401260378,0.000369569745579929,0.00125273109340728,0.0010845655884191,0.000690504464393162,-0.00224514862621479
"T+8",0.000877981672819742,0.00122920867887209,0.002778306665739,0.0022927182697567,0.000624206452766383,0.000486805476367523,-0.00186301780433497,0.00110211880919165,0.00255764703251096,-0.000322704850596555,0.000337278621548891,0.00112927450957856,0.000991041602873432,0.000379581145400835,0.00158708345384691,0.000136093475097946,0.000444685126102523,0.00126547053428032,0.000208996923528971,-0.000332050183543386,-0.00132432165778679,0.00141793990624285,-0.00240403298039369,0.00282933644355513,0.000669858700165267,0.000378105329700154,0.00127367655752713,0.00108587659924378,0.000629655378535285,0.00447462690558851
"T+9",0.0010877918906366,0.00120086397680159,0.00277898276737654,0.00237031351498012,0.000624409980385329,-0.000169476925203223,-0.00189952567779511,0.0011029886772938,0.000166048415312448,-0.000322416174789971,0.000337257827044253,0.00114407710619112,0.000992279808468016,0.000378757557636728,0.00159929473218186,0.000147989987348058,-0.000230660477897268,0.00112756399746468,0.000196991184329709,-0.000326913678547469,0.00259274420938286,0.00135125859477509,-0.00221116385556916,0.00268927816770611,0.000669257836713391,0.000379444440188081,0.00125740035414694,0.00108442746480434,0.000652092995583152,-0.00229306647555961
"T+10",0.000896276361148164,0.00119798935908552,0.00278010880812245,0.00241523953818613,0.000624411928906293,0.000351808420702616,-0.00193184549473871,0.00110443504668143,0.00248803149821313,-0.000322371942568077,0.000337250668441745,0.0011575866275468,0.000991937501096441,0.000377932452045479,0.00159927589450646,0.000159460676551005,0.000315913044403277,0.00124326723940041,0.000187945633510988,-0.000328371327113284,-0.000944812953020837,0.00139721805972028,-0.00203141156039516,0.0025625055744324,0.000669602687708172,0.000377846578483657,0.00126481459721603,0.00108430486451154,0.0006562945448452,0.00452288645091335
