"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+1",0.00343010038072162,0.00101843234608304,-0.00548253041729675,0.00302890314914438,0.000431698998876834,-0.000139921068079509,-0.000416328799495121,0.00193618599286023,-0.00039364411677625,-0.000857010564291123,0.00453147093451076,-0.00291480489867533,0.00770031795151962,-0.00137660445410287,-0.00169426461798565,0.00015055584309185,-0.00701347019353087,0.00299944087747631,-0.00679065941508791,0.000797303248346274,0.000547447601096627,-0.000715826566372061,-0.00319680096468098,-0.00284238008404143,0.00222606633268184,-0.00388872772051462,-0.00280444845692333,-0.000902948346984212,0.00116119385231088,-0.00374966987902854
"T+2",0.00159052288711101,0.00440548266713432,0.0035619136093845,0.0033402137518634,0.00313007711585659,0.0024875184423482,0.000659600007725849,0.0010761724686168,0.00242914350564312,0.00215740067636141,0.00427538696637647,0.00337072041109596,0.00542544065366064,0.00205709821559138,0.00144774231001947,-0.00075434141900931,0.00732964138085647,0.00232321443781112,0.00535279646358988,0.00395726214346858,0.00412044004477894,0.0016118610044823,0.00355534084938065,0.0072812408200598,-0.00356460152118856,-0.00525003914085677,0.00794549391874534,0.000348874325682619,0.00635080986638701,0.0011354315033478
"T+3",0.00128107585962681,0.000699128316413527,-0.00334081975263856,0.000212028810639865,0.00119268481603577,0.00109143521159366,7.70372750640444e-05,0.000690497246510615,0.000493684164869259,0.000759987655056078,0.00414923079279051,-0.000662792652019848,0.00550061470058526,0.000791951289680604,0.000315814996946111,-0.000376749170588744,-0.00679761109275722,0.00224422440562748,-0.00278337507323049,0.000707768984635801,0.00213275383450233,0.000112319804919898,0.0002176737939645,0.00147729561760042,0.00452007112088511,-0.00494671285679358,-0.00342941862568709,0.000345278990872196,-0.000839130200095507,-0.000952191120812779
"T+4",0.00115927290148679,0.00238473927625376,0.000329114100819611,0.00149956715509111,0.00184548139468271,0.00147067266542282,0.000177847372854524,0.000659339892227734,0.00110482916188867,0.0012301510612741,0.0040267806851084,0.00125292030501444,0.00510832222448279,0.00117660200710022,0.000707177929459156,-0.0003574453217559,0.00303607122773083,0.00207915660989095,0.00128973364215845,0.00195102402066471,0.00276967259284615,0.000803959484756301,0.00166633423927751,0.00503658099242715,-0.00261313861762046,-0.00462823837030383,0.00393699595845059,0.000381927079536083,0.00147937044373421,0.000389873139120092
"T+5",0.00106931788587003,0.00137486873622619,-0.00181807725424508,0.00071808834494363,0.00148255791406995,0.00132197186380777,9.72019067686742e-05,0.000643086692122209,0.000770891952694188,0.00106314149406596,0.00391003237915232,0.00025766642034041,0.00485355296372777,0.0010375893958848,0.000571476471847879,-0.000331719935172904,-0.00438363537732955,0.00193673781363398,-0.00103308179223706,0.00125249656091066,0.00250680618748769,0.000428612464038968,0.00101029604646191,0.00286429350157791,0.00303636951886396,-0.00434378374883683,-0.00129074435715286,0.000395818516427424,7.39308366729499e-05,-0.000312407665756047
"T+6",0.000992069237458529,0.0019198154503436,-0.000596317722780677,0.00114117149687135,0.00162532809396719,0.00136901904769574,0.000103482655039546,0.000641994574750872,0.00089309212977141,0.00112186235174968,0.00379868309311788,0.000760076816304677,0.00460201658761381,0.00108058854856734,0.000618520135545505,-0.000325679796183613,0.0011001653580105,0.00179914807384085,0.000213388545815044,0.00158134903896163,0.00260250255178041,0.000616153201692503,0.00130317873300171,0.00419051519076207,-0.00127996510203924,-0.00409108507083697,0.00234608761908181,0.000402238562629283,0.00068263762558213,9.31386184167913e-05
"T+7",0.000924248509265375,0.00161448797159155,-0.00129702460303651,0.000905041172960828,0.00155440809823426,0.00135221145203873,9.13867737552717e-05,0.000641306076082747,0.00083348415567832,0.00110117687549624,0.00369248382189997,0.000504160522624439,0.00437953723142662,0.00106528959904994,0.000602211260401258,-0.000323024672036,-0.00297388551377021,0.0016688122125642,-0.00047440555142339,0.0014141654368109,0.00256550260077964,0.000518511173760594,0.00117180088689151,0.00338085098742424,0.00197458494262636,-0.0038666413675018,-0.00019466129639273,0.000405113132021613,0.000371151949589279,-0.000129967200889964
"T+8",0.000864530007102039,0.00178321520281137,-0.000896061566494653,0.00103573355687175,0.00158442149942366,0.00135780916769045,9.09193782673281e-05,0.000641269706187402,0.000857066906444061,0.00110846114451061,0.0035911963600899,0.000634147825685237,0.00417764602781536,0.00107008835060742,0.000607865138448635,-0.000322165016097868,4.88768264880846e-05,0.00154494105081088,-9.97470456067069e-05,0.00149629007415467,0.00257939409745878,0.0005683054290082,0.00123063932626179,0.00387515535277524,-0.00046712533219718,-0.00366729480156089,0.00157875603811036,0.000406406297380489,0.000517370356004065,-4.30245424637572e-06
"T+9",0.000811925593972176,0.00168950478801824,-0.00112565147940903,0.00096323382621861,0.00157025987087664,0.00135586863241871,8.89339856470433e-05,0.000641240381715077,0.00084621646362946,0.0011058958645588,0.00349459353241445,0.000568064244849253,0.00399556566737841,0.0010684024207646,0.00060590508056609,-0.000321845856808388,-0.00219461431416668,0.00142727911985317,-0.000305048235247225,0.00145533211300826,0.0025741038854892,0.000542647122952511,0.00120427417828655,0.00357337990376812,0.00136123957511449,-0.00349023907523513,0.000340692607934686,0.000406987633536799,0.000445662206899237,-7.42725806337336e-05
"T+10",0.000765585464852358,0.00174145565543988,-0.000994213416207632,0.00100342706812548,0.00157646226658423,0.00135652602453089,8.86183702249691e-05,0.000641239273386241,0.000850689954334205,0.00110679926083766,0.00340245867042343,0.00060165063451073,0.00383110963665531,0.00106893725280739,0.000606584583528675,-0.000321734724136743,-0.000529635348346867,0.00131550476115763,-0.000192857367471758,0.0014756220095331,0.00257610464785023,0.00055579980372949,0.00121608615232588,0.00375761542485095,-6.83450502081461e-06,-0.00333298163879034,0.00120497815363996,0.000407248998204688,0.000480049348546243,-3.50938002536293e-05
