"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+1",-0.00457594273368979,-0.000970658463587992,-0.0126644677366428,-0.000315101324972355,-0.000181145324160726,0.00076748431954677,-0.000960073498698297,-0.00131815903546903,-0.00696526974685884,-0.019798724023974,-0.00192340420341157,-0.00048895916003497,-0.00270920610920222,-0.000445437324206385,0.00272586452674794,-0.0152936213161147,-0.00132122672302739,0.000265287363751815,-0.00231734043170697,-0.00425382171063705,-0.00365642309502239,-0.00865418268695512,-0.00435076634324393,-0.00111588157196964,-0.00316860907738031,-0.00117583166629115,-0.0142845686882538,-0.00583181070559424,-0.00225333594209428
"T+2",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+3",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+4",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+5",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+6",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+7",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+8",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+9",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+10",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
"T+11",-0.00116557655041982,-0.00189432474049953,-0.00229645159118679,-0.00246518933091438,-0.000936696009391669,-0.00511378124254285,-0.000243926748134609,-0.000514059951616466,-0.000627488489563748,-0.00249908214771327,3.38950692872384e-05,-0.00134100171310195,-0.000758444158122424,-2.10345532651779e-05,0.000432454953559398,-0.00163734039745361,0.000556068518192156,-0.00181640629100011,-0.000355697263820914,-0.00128208365953275,-0.00017829822613468,-0.00111426620318699,-0.000901223285815801,0.00124416209543085,-0.000427756781211284,-0.00118012922915075,-0.00468639228348774,7.10670248562353e-05,-0.00012720001574002
