"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL"
"T+1",0.00110839151288914,-0.000229566281756065,-0.0013540019511143,0.000150322813115204,0.000734875032232851,0.000986882273253195,-2.72882733363857e-06,-0.000198451145031362,0.00107910864102414,0.00228828286118351,0.00141478840535472,0.00274850671713667,0.000947222714071487,0.000657539381420969,0.000600617121222773,0.000411704082469817,-0.000285574338636194,0.000744954685955136,0.00117166794374958,0.00055972525746772,-0.000340369118588382,0.00154161721856961,9.23225511433922e-06,0.00410009285014176,0.00319775020853494,0.00397230816939592,0.00298751030628966,0.00147650984537225,0.00243312644783307,0.00140141508889938
"T+2",0.000427352327027,-0.000373275022768942,0.000343235303298663,-0.000591646612315949,0.000769294767046728,0.000758563393218991,-0.000556808679850783,-0.000187724452052574,0.00128402586941308,0.000840212671803437,-3.85211258732132e-05,7.52464431886326e-05,0.000982521235293583,0.000107001648626996,0.000566731890642321,0.00100088385392423,0.000410340204083349,0.000116102641166665,-0.000160057538658755,0.000606124780490366,-0.000182683962667643,0.00117600476895961,-4.19365248023638e-05,0.00182291231037912,0.000436466534257345,0.00183475731119006,0.00190946776814644,0.00117834004541995,0.000258682531183999,0.00166579823194438
"T+3",0.000523771489269811,-0.000378462889626845,0.00050273865924087,-0.000515831481005574,0.000768100560598984,0.000762611815762371,-0.000502983531432144,-0.000187050188904224,0.00128647847549292,0.00100558745486678,7.0305577331024e-05,0.000562283343324068,0.000982718774091689,0.000161975656431678,0.00056717121790522,0.00103941192599607,0.000457502511656842,0.000195003493333943,-4.4894139896755e-05,0.000607989683062515,-0.000192547519143676,0.0011876110285388,-4.15018900542755e-05,0.00226605106476685,0.000812804798198401,0.00202822997454656,0.00198053251833863,0.00118556071162978,0.000475816955208149,0.00166821633799563
"T+4",0.000510120799205866,-0.000378650170945612,0.000517728502582263,-0.000523578342181517,0.000768141994068694,0.000762540031400573,-0.000508212284271878,-0.000187007805777,0.00128650783015787,0.000986701064501297,6.21564177226806e-05,0.000473550890145009,0.000982719879565103,0.000156486220641743,0.00056716552195921,0.00104193138170295,0.000460698713372881,0.000185103955717242,-5.48531056067381e-05,0.000608064637746896,-0.000191930531794501,0.00118724259124526,-4.15055819024015e-05,0.00217981637576816,0.0007615132593299,0.00201071849811896,0.00197584791773968,0.00118538585146446,0.000454134465383828,0.00166823845452246
"T+5",0.000512053416487404,-0.00037865693177686,0.000519137221552922,-0.00052278676064572,0.000768140556517912,0.000762541304240684,-0.000507704345937061,-0.000187005141639893,0.00128650818149695,0.000988857957677088,6.27666429740844e-05,0.000489716910101576,0.000982719885751591,0.000157034368875702,0.000567165595808032,0.00104209613578271,0.000460915320785351,0.000186346031592629,-5.39918858174751e-05,0.000608067650346479,-0.00019196912572256,0.00118725428717868,-4.1505550543329e-05,0.00219659762433437,0.000768503837252933,0.00201230348589633,0.00197615672741976,0.0011853900859875,0.00045629962352075,0.00166823865680505
"T+6",0.000511779803245919,-0.000378657175841988,0.000519269610470744,-0.000522867645188967,0.000768140606394311,0.000762541281671396,-0.000507753688745927,-0.0001870049741764,0.00128650818570204,0.000988611632779543,6.27209480956739e-05,0.000486771649468369,0.000982719885786212,0.000156979633471575,0.000567165594850571,0.0010421069095013,0.000460930000325413,0.000186190190730162,-5.40663613751804e-05,0.000608067771429721,-0.000191966711586703,0.00118725391589472,-4.15055508096973e-05,0.00219333199762764,0.000767551084015732,0.00201216002647617,0.00197613637063234,0.00118538998344164,0.000456083416351008,0.00166823865865517
"T+7",0.000511818540458212,-0.000378657184652708,0.000519282052147138,-0.000522859380330528,0.000768140604663829,0.000762541282071582,-0.000507748895422368,-0.000187004963649906,0.00128650818575237,0.000988639763961853,6.27243698188952e-05,0.000487308241667366,0.000982719885786406,0.000156985099081568,0.000567165594862984,0.00104210761402414,0.00046093099516162,0.000186209743782351,-5.40599209650033e-05,0.000608067776296333,-0.000191966862596258,0.00118725392768102,-4.15055508074348e-05,0.00219396748775494,0.000767680935759177,0.00201217301118528,0.00197613771255528,0.00118538998592496,0.000456105006247584,0.00166823865867209
"T+8",0.000511813056178255,-0.000378657184970774,0.000519283221393885,-0.00052286022484151,0.000768140604723869,0.000762541282064486,-0.000507749361061663,-0.000187004962988228,0.00128650818575297,0.000988636551280447,6.27241135934667e-05,0.000487210480815651,0.000982719885786407,0.000156984553312461,0.000567165594862823,0.00104210766009481,0.000460931062581925,0.000186207290498637,-5.40604779112622e-05,0.000608067776491933,-0.000191966853150276,0.00118725392730686,-4.1505550807454e-05,0.00219384382153765,0.000767663238128125,0.00201217183592143,0.00197613762409549,0.00118538998586482,0.000456102850335573,0.00166823865867224
"T+9",0.000511813832623561,-0.000378657184982256,0.000519283331277626,-0.000522860138548586,0.000768140604721786,0.000762541282064612,-0.000507749315827923,-0.000187004962946635,0.00128650818575298,0.000988636918180128,6.27241327801355e-05,0.000487228291704713,0.000982719885786407,0.000156984607810297,0.000567165594862825,0.0010421076631075,0.000460931067151017,0.000186207598307409,-5.4060429748315e-05,0.000608067776499795,-0.000191966853741143,0.00118725392731874,-4.15055508074538e-05,0.00219386788695211,0.000767665650156924,0.00201217194229617,0.00197613762992678,0.00118538998586628,0.000456103065619448,0.00166823865867225
"T+10",0.000511813722697132,-0.00037865718498267,0.000519283341604306,-0.000522860147366078,0.000768140604721858,0.000762541282064609,-0.000507749320222078,-0.000187004962944021,0.00128650818575298,0.000988636876278875,6.27241313433997e-05,0.000487225046768078,0.000982719885786407,0.00015698460236841,0.000567165594862825,0.00104210766330451,0.000460931067460665,0.000186207559687236,-5.4060433913294e-05,0.000608067776500111,-0.000191966853704183,0.00118725392731836,-4.15055508074538e-05,0.00219386320382857,0.000767665321418976,0.00201217193266805,0.00197613762954238,0.00118538998586624,0.00045610304412175,0.00166823865867225
