"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT","WBA"
"T+1",-0.000261591400649187,0.000584551481795338,0.000858221231902975,-0.000560617494658001,0.000677012105468763,-0.000247846476946508,0.000823008754445924,0.00203338174734084,-0.000117094513756723,-0.000169305227815572,-1.17825113775539e-05,0.000958370504097283,0.00117218770591508,0.00422502958351859,0.00180241093740733,-0.000264333923687741,0.000540610155376729,0.000872189572505889,-0.00121734807960714,-0.000474599938891283,0.000458709868128921,-0.000686835310311953,0.000972551972077442,0.000341547895504218,-0.00250393714007692,0.00378986875703331,0.0014335605834206,0.00416264267423338,-0.000704123615126937,0.00128047355087619
"T+2",-0.000603715782164662,0.000588182915566971,0.00033152285180126,-0.000787662373003363,0.000468198262702977,0.000336833738811941,0.000514443084572109,-0.000320428036160134,-6.34525457876599e-05,-0.000106320268907932,-0.000165745282425123,0.000288977768667137,0.00121259923722757,0.000732969690615357,0.00101979369404309,0.000813433976221334,-1.14398063572901e-05,0.000603184979172687,0.0001678062773942,0.000238342193834293,0.00155492259643457,-0.000656000179174588,0.00102344236176705,0.00131351234822707,-0.00105669875588458,0.000484035599894345,0.00144091375219326,-0.00101020636856795,-0.00010899044847881,0.000569559776881915
"T+3",-0.000625323138327888,0.000588227998248057,0.000375631372376384,-0.000789834535787051,0.000459386891743154,0.000312150916074822,0.000499929168778208,0.000187518678158361,-7.03853785288377e-05,-0.000106679320402301,-0.00016303374026206,0.000314517766700837,0.00121247525405905,0.00126956745884707,0.000997602918307032,0.000757278705240917,2.09997807873767e-05,0.00059928761921497,2.83671446196197e-05,0.000204188390241481,0.00145378705374192,-0.000655528973921094,0.00102505920706647,0.00117880995877065,-0.000951020530489255,0.000963529093611388,0.00144090433536232,-0.000745206676985241,-0.000139761013290388,0.000504395576816792
"T+4",-0.000626687781906626,0.000588228557930062,0.000371937490525161,-0.000789855317102152,0.000459015076076322,0.000313192924546892,0.000499246481842365,7.79049504920581e-05,-6.94893605109144e-05,-0.000106677273596558,-0.000163081495059223,0.000313543314088736,0.00121247563444122,0.00118711264028671,0.000996973708393829,0.000760204580523666,1.90935641637744e-05,0.00059923115395372,4.24040435765121e-05,0.000205824543087992,0.00146311772262728,-0.000655521773225565,0.00102511057607225,0.00119747806301504,-0.000943303842316327,0.00089398111596452,0.00144090434742198,-0.000758782336347784,-0.000138170062370687,0.000498422457255092
"T+5",-0.000626773967929706,0.000588228564878272,0.000372246835816114,-0.000789855515919229,0.000458999386475835,0.000313148935183624,0.000499214370490819,0.00010155933973055,-6.96051642982573e-05,-0.00010667728526456,-0.000163080654017294,0.000313580493335656,0.00121247563327421,0.00119978283294559,0.000996955867417039,0.000760052132747691,1.92055773592535e-05,0.000599230335880521,4.09909931049165e-05,0.000205746162472789,0.00146225688399894,-0.000655521663188557,0.00102511220812373,0.00119489089201172,-0.000942740365061335,0.000904068679733682,0.00144090434740654,-0.000758086869398268,-0.000138252320361218,0.00049787494562658
"T+6",-0.000626779411131645,0.000588228564964531,0.00037222092959797,-0.000789855517821334,0.000458998724417764,0.000313150792235781,0.000499212860078294,9.64547771711096e-05,-6.95901975041809e-05,-0.000106677285198046,-0.00016308066882945,0.000313579074799357,0.00121247563327779,0.0011978359026774,0.000996955361543806,0.000760060075780854,1.91989952343229e-05,0.000599230324028211,4.11332404518133e-05,0.000205749917330321,0.00146233630415125,-0.000655521661507033,0.00102511225997585,0.00119524944228082,-0.000942699219610103,0.000902605532331847,0.00144090434740656,-0.000758122497448807,-0.000138248067321779,0.000497824759290904
"T+7",-0.000626779754904873,0.000588228564965602,0.000372223099122311,-0.000789855517839531,0.00045899869648073,0.000313150713838586,0.000499212789033449,9.75563299806336e-05,-6.95921318530486e-05,-0.000106677285198425,-0.000163080668568584,0.000313579128922165,0.00121247563327777,0.00119813507235629,0.000996955347199988,0.000760059661922564,1.91993820134735e-05,0.000599230323856494,4.11189208587726e-05,0.000205749737452234,0.0014623289769236,-0.000655521661481337,0.00102511226162325,0.00119519975159732,-0.000942696215144276,0.000902817754070265,0.00144090434740656,-0.000758120672260728,-0.000138248287219498,0.000497820159081232
"T+8",-0.000626779776616365,0.000588228564965615,0.000372222917434817,-0.000789855517839705,0.000458998695301864,0.000313150717148197,0.000499212785691733,9.73186174287664e-05,-6.95918818525794e-05,-0.000106677285198423,-0.000163080668573178,0.000313579126857165,0.00121247563327777,0.00119808910127133,0.000996955346793275,0.000760059683485949,1.91993592855379e-05,0.000599230323854006,4.11203623671685e-05,0.000205749746069372,0.00146232965292665,-0.000655521661480944,0.00102511226167559,0.00119520663811852,-0.000942695995756357,0.000902786972437328,0.00144090434740656,-0.000758120765763221,-0.00013824827584998,0.000497819737414085
"T+9",-0.000626779777987585,0.000588228564965615,0.000372222932650293,-0.000789855517839707,0.000458998695252119,0.000313150717008478,0.00049921278553455,9.73699152483777e-05,-6.95919141633149e-05,-0.000106677285198423,-0.000163080668573097,0.000313579126935952,0.00121247563327777,0.00119809616529152,0.000996955346781743,0.000760059682362426,1.9199360621078e-05,0.00059923032385397,4.11202172550519e-05,0.000205749745656565,0.00146232959055925,-0.000655521661480938,0.00102511226167725,0.00119520568373088,-0.000942695979736518,0.000902791437149253,0.00144090434740656,-0.000758120760973185,-0.000138248276437826,0.00049781969876298
"T+10",-0.000626779778074186,0.000588228564965615,0.000372222931376068,-0.000789855517839707,0.00045899869525002,0.000313150717014377,0.000499212785527156,9.73588452973961e-05,-6.95919099873882e-05,-0.000106677285198423,-0.000163080668573098,0.000313579126932946,0.00121247563327777,0.00119809507981831,0.000996955346781416,0.000760059682420965,1.91993605425989e-05,0.000599230323853969,4.11202318630323e-05,0.00020574974567634,0.00146232959631321,-0.000655521661480938,0.00102511226167731,0.00119520581599733,-0.00094269597856674,0.000902790789566566,0.00144090434740656,-0.000758120761218573,-0.000138248276407432,0.00049781969522012
