"","MMM","AA","AXP","BA","CAT","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ","CSCO","TRV"
"T+1",-0.0010826706785997,-0.00275701030444086,-0.00214519500399492,4.20806598404984e-05,0.000755355186248995,-0.000159993971783628,0.000956253755796999,0.000799429753148575,-0.00334633214275194,0.000155611149799386,0.00144114514876145,0.00185702011157144,0.000926205698748805,0.00167626889682393,-0.00186136600016161,0.00285879037346372,0.000528985321652031,0.00390126908063475,-8.47639501112916e-06,0.0018463872053379,-0.0016086994823406,-0.00125081850436553,-0.00162230084151483,0.00574473814281455,-0.00350452251373691,-0.00494989124902046,-0.00485482831969208,0.00250218610083623,2.46816887877441e-05,-0.00482251514624105
"T+2",-6.46079016624027e-05,-0.00348846378303515,-0.00113220464056047,-0.000246651677364264,0.000470606475186144,0.000355468808224742,-0.00442641016992151,-0.000592075521188861,-0.00220254983438868,0.00185396377178357,0.00178709591474021,0.000964001729956058,0.000928449728889436,0.000991551736574454,-0.000150413114525729,0.000582942393694066,0.000508939019992724,0.00267895996944135,-0.000102554478847703,0.000546402196394825,0.000297271310531474,-0.000654431601648736,-0.000636950287351296,0.00180626448477203,-0.00211032516730904,0.003240419936409,-0.000249121534891968,0.00140559536477488,0.000195822612455561,-4.60021909174833e-06
"T+3",0.000350565832188317,-0.00325573963161662,-0.000918283718523311,-0.000224528983102638,0.000228167498580716,0.000554404242874714,5.57158073074041e-05,-0.000626942872690329,-0.00185598472129265,0.00225352602680373,0.00202443293963457,0.00104358250393813,0.00092861948088145,0.000739558547531117,0.000543175917812449,-0.000184983357892997,0.000498315854001428,0.00201276245690622,-0.000130906309614064,0.000200072047804991,0.000469731611596726,-0.0004197407259863,-0.000289684754688417,0.000778814241492828,-0.0012639747536486,-0.00392333272832824,-0.000728234619343535,0.0012980434375467,0.000280165155185621,0.00025839778393301
"T+4",0.000519876834598303,-0.00332978471067969,-0.000873108401425453,-0.000226224025667428,2.17516129456322e-05,0.000631180508192514,-0.0036765352774691,-0.000627816554036098,-0.00175097577270423,0.00234752888202368,0.00218725629175621,0.00103649071308817,0.000928632321947295,0.000646818696669056,0.000824344236249821,-0.000444099944410451,0.000492686304092593,0.00164966353074779,-0.000139450555787283,0.000107805928582758,0.000485336549277171,-0.000327384896459713,-0.000167298513907332,0.000510777917253666,-0.000750195965775786,0.00234252837018861,-0.000678394419257359,0.00128749491048907,0.000321731277196156,0.000272754191350095
"T+5",0.000588923147502533,-0.00330622603101521,-0.00086356838422911,-0.000226094151373525,-0.000153993716617693,0.000660811201821936,-0.000568702469871966,-0.000627838446123138,-0.00171915814632765,0.00236964442641877,0.00229896007673424,0.00103712269358978,0.000928633293323065,0.000612688091907202,0.000938324734220488,-0.000531532102102385,0.000489703028466284,0.001451763016716,-0.000142025491539057,8.32252306822315e-05,0.000486748550059418,-0.000291040921759085,-0.000124166125220009,0.000440853878029784,-0.000438305478564469,-0.00313798123745945,-0.00068357909407682,0.00128646032723284,0.000342216105410599,0.000273537871954338
"T+6",0.000617080758394969,-0.00331372161876468,-0.000861553745839093,-0.000226104102352083,-0.000303625712083026,0.000672246741195028,-0.00315658429791234,-0.000627838994679517,-0.00170951743130433,0.00237484743118652,0.00237559365180704,0.00103706637504305,0.000928633366803795,0.000600127168306596,0.000984530345115213,-0.000561033811357699,0.000488122096845346,0.00134390091459301,-0.000142801486751666,7.66766653543493e-05,0.000486876313864047,-0.000276738798072787,-0.000108965045899319,0.000422612427826116,-0.000248971706308783,0.00165561138888081,-0.000683039753284907,0.00128635885690355,0.000352311542913018,0.000273580651131024
"T+7",0.000628563646007949,-0.00331133677222361,-0.000861128299243034,-0.000226103339907328,-0.000431024455040062,0.000676660122885955,-0.00100166388535657,-0.000627839008424853,-0.00170659630246019,0.00237607151403655,0.00242816756261583,0.00103707139383508,0.000928633372362321,0.000595504431534097,0.00100326125536886,-0.000570988396397813,0.000487284311436569,0.00128511262325729,-0.000143035344458436,7.49320563108192e-05,0.00048688787447363,-0.00027111060953196,-0.000103607753629025,0.000417853685207322,-0.000134036244066615,-0.00253716116556141,-0.000683095858730273,0.00128634890485023,0.000357286827904345,0.00027358298633997
"T+8",0.000633246454802914,-0.00331209555101649,-0.00086103845443168,-0.000226103398325905,-0.000539493500424097,0.000678363403974351,-0.00279605879710796,-0.000627839008769274,-0.0017057112027862,0.00237635949740206,0.00246423551449076,0.00103707094658857,0.000928633372782801,0.000593803147779232,0.00101085442408012,-0.000574347312400384,0.00048684034258816,0.00125307112647436,-0.00014310582095897,7.44672734824632e-05,0.000486888920526495,-0.00026889579815528,-0.00010171969161291,0.000416612247105686,-6.42644314447164e-05,0.00113009699832332,-0.000683090022307279,0.0012863479287682,0.00035973877322509,0.000273583113813223
"T+9",0.000635156139801086,-0.00331185413285955,-0.000861019481215765,-0.000226103393849869,-0.000631845540431992,0.000679020760774479,-0.00130187224592091,-0.000627839008777904,-0.00170544301830182,0.00237642724969415,0.00248897967242841,0.00103707098644466,0.000928633372814609,0.000593177032437388,0.00101393255591124,-0.000575480691307377,0.000486605069526238,0.00123560748715497,-0.000143127060101337,7.43434502807346e-05,0.000486889015177784,-0.000268024222976395,-0.000101054284911755,0.000416288386648492,-2.19093067375288e-05,-0.0020775137809283,-0.000683090629446802,0.00128634783303558,0.000360947153421682,0.000273583120771672
"T+10",0.000635934923849704,-0.0033119309440818,-0.00086101547449666,-0.000226103394192823,-0.000710475339960726,0.000679274458162196,-0.0025460763144496,-0.00062783900877812,-0.00170536175862025,0.00237644318941024,0.00250595522330434,0.00103707098289291,0.000928633372817015,0.000592946606195927,0.00101518037430301,-0.000575863120563075,0.000486480390928033,0.00122608924584608,-0.000143133460832999,7.43104624327529e-05,0.000486889023742233,-0.00026768123968651,-0.000100819776683656,0.000416203899475433,3.8024602575911e-06,0.000728060970392801,-0.000683090566288528,0.00128634782364627,0.000361542673512266,0.000273583121151516
