"","MMM","AA","MO","AXP","AIG","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","HON","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T"
"T+1",0.000393627203417148,0.00635567882557739,0.00085709790460501,-0.00118505330066197,0.00065780008331279,0.000908278774627927,0.0018752841145315,0.000990561306673965,0.000843518738294226,0.00193292673134182,0.00175692052660741,0.00046790007989775,0.0018490146396389,9.57745307988657e-05,0.0017094392468449,0.00237332111116371,0.0026713852773457,-0.000128065442406619,-0.000359270119068877,0.0023445400696359,0.00109247515116926,0.000241645076770649,0.000557861523538835,0.00566809064668575,-0.000242532453342903,2.77166760346248e-05,-0.002175243722679,0.000727418636323831,0.00100253764245006
"T+2",0.000786784993856675,-0.000355486134607918,0.000919130865412017,-0.00121347465409813,0.000692370250815918,0.00230594757787255,0.00165689703549507,0.000479213578497207,0.000790324512649112,-0.00172833003577274,0.0019775591404612,0.002290019234975,0.00178688247155085,-2.281140179692e-05,0.00265025828394197,-0.000343568198979287,0.00174427685378913,0.0002749862347718,0.000213915924305257,0.00225599536832785,0.0010406516149809,0.00491935033521759,-0.000645648044897148,-0.00233132306346619,0.00101401010430832,0.00101587119018798,-0.00197257700000852,-0.00144581340176797,0.000384907634232525
"T+3",0.000572327375231936,0.00312406147679696,0.000904761924300607,-0.0006044386718231,0.000391516078201429,0.00173670473613652,0.0013371427649133,0.000301240893533549,0.000834450590687189,0.00181054623662014,0.00193796201349002,0.00115812152399896,0.00126280146722628,-0.00011357446596138,0.00198806477071619,0.00204412223850938,0.00169053472267838,3.62449690232243e-05,0.000465150023694771,0.00194967963263345,0.00112342103534731,0.00242049803770626,0.000158739336588808,0.00191051102833037,0.000778684648100793,0.00111944864805251,-0.00191714710744647,0.00121991057167282,0.00169352966436573
"T+4",0.000498423791662101,0.00155902694821106,0.00090128882481651,-0.000244377662361297,0.000239385397101247,0.00143917877962765,0.00120000758583676,0.000329732331196188,0.000849517617527084,0.000231822807481147,0.00190128787401612,0.000814616805397427,0.00131483153137839,-0.000112846349132115,0.00172954533686505,0.000356659899665755,0.00164096098107903,-1.38459333331846e-05,0.000398962720502598,0.00191473150310275,0.00109961639831293,0.00133276879484722,-0.000340534079307843,-0.000271653306042505,0.000813942918811319,0.00115786341718678,-0.00186458761207635,0.00012599570411184,0.000536694789336979
"T+5",0.000472956103922732,0.00226294979945699,0.000900449346114989,-3.1510222164461e-05,0.000162458612503643,0.00128367099225424,0.00114119349304563,0.000325171170475093,0.000854662314447536,0.000936105035474137,0.00186732095244804,0.000710371085525997,0.00130966605590164,-0.000112852190209891,0.00162861970660156,0.00154924713807283,0.00159523231707991,-2.43556308964107e-05,0.000416399681148058,0.00191074420628653,0.00110646265556386,0.000859289467177848,-3.06411725337176e-05,0.000850936846980715,0.000808660253376261,0.00117211067250723,-0.00181474987244032,0.000574898047112636,0.00155934831133719
"T+6",0.000464179761999108,0.00194633865033818,0.000900246436727125,9.43366368544707e-05,0.000123559620231143,0.00120239179155011,0.00111596949484081,0.000325901361326464,0.000856418991905176,0.000621918619087521,0.00183586140691097,0.000678734925895484,0.00131017887742773,-0.000112852143351766,0.00158921847980655,0.000706405026298023,0.00155305049574304,-2.6560696840014e-05,0.000411805936095952,0.00191028928820896,0.00110449365942759,0.000653187925638906,-0.000222987912038061,0.000273432837858109,0.000809451742962573,0.00117739468927319,-0.00176749294437169,0.00039068507083149,0.000655312438427114
"T+7",0.000461155373670312,0.00208874434091763,0.000900197391742888,0.000168737080202153,0.000103889857511551,0.00115990962021525,0.00110515150793934,0.0003257844659325,0.000857018816489189,0.000762079907159732,0.00180672414749183,0.000669134084753981,0.00131012796518958,-0.00011285214372767,0.00157383629523265,0.00130207031811338,0.00151414041406365,-2.70233472432619e-05,0.00041301615237348,0.00191023738576306,0.00110505994632605,0.000563473670037042,-0.000103600641825651,0.000570523347386019,0.000809333155902132,0.00117935442345041,-0.00172268318239627,0.000466279286721555,0.00145448913114486
"T+8",0.000460113148464987,0.00202469296191265,0.000900185537138702,0.000212722492420498,9.39435955946694e-05,0.00113770547861826,0.00110051192464845,0.000325803179578534,0.000857223629006149,0.00069955273969019,0.00177973774727641,0.000666220452009016,0.00131013301968878,-0.000112852143724655,0.00156783111159974,0.000881093322639909,0.00147824830679292,-2.71204170820331e-05,0.000412697322438039,0.00191023146411689,0.00110489708117591,0.000524421814344465,-0.00017770286121081,0.000417688441554543,0.000809350923528071,0.00118008124893478,-0.0016801938617748,0.000435258206711902,0.000748008995431481
"T+9",0.000459753990426889,0.00205350205750248,0.000900182671776574,0.00023872659133395,8.89141436623044e-05,0.00112610004771472,0.00109852211514793,0.000325800183732966,0.000857293563063908,0.000727446651950399,0.00175474343377181,0.0006653362320071,0.00131013251788483,-0.000112852143724679,0.00156548669619556,0.00117861213589452,0.00144514009142222,-2.71407835477984e-05,0.000412781317778063,0.00191023078850531,0.00110494392149166,0.00050742287228333,-0.000131708519368195,0.000496312657715584,0.000809348261445628,0.00118035081370069,-0.00163990482011765,0.00044798811459751,0.00137254445386717
"T+10",0.000459630222074645,0.00204054427264918,0.000900181979193338,0.000254100169213448,8.63709382901398e-05,0.00112003424121333,0.00109766873207446,0.000325800663334357,0.000857317442329234,0.000715002935520109,0.0017315941547802,0.000665067891732185,0.00131013256770326,-0.000112852143724679,0.00156457143965666,0.000968345434406763,0.00141459984153483,-2.71450566869425e-05,0.000412759189312817,0.00191023071142354,0.00110493045013098,0.000500023376764536,-0.000160256645174519,0.000455865304846113,0.000809348660299305,0.00118045078978104,-0.0016017021175583,0.000442764229590101,0.000820448904217182
"T+11",0.000459587570641593,0.00204637243854147,0.000900181811789877,0.000263189001616509,8.50849346356689e-05,0.00111686382825597,0.0010973027358975,0.000325800586555535,0.000857325596000432,0.000720554185454252,0.00171015371322806,0.000664986456678707,0.00131013256275735,-0.000112852143724679,0.00156421412476677,0.00111694809005364,0.00138642837856888,-2.71459532449588e-05,0.000412765019028775,0.00191023070262913,0.00110493432451901,0.000496802439029956,-0.000142537172421925,0.00047667299532657,0.000809348600539978,0.00118048786887261,-0.00156547771452439,0.000444907919459333,0.00130850685485267
"T+12",0.000459572872661791,0.00204375104004993,0.000900181771326988,0.000268562303465853,8.44346507783708e-05,0.00111520674962712,0.00109714576863893,0.000325800598846966,0.00085732838010426,0.000718077724663462,0.00169029596586073,0.00066496174302759,0.00131013256324837,-0.000112852143724679,0.00156407462952679,0.00101192552057851,0.00136044197280705,-2.71461413540396e-05,0.000412763483197538,0.00191023070162576,0.00110493321023791,0.000495400392111528,-0.000153535432579528,0.000465968710560946,0.00080934860949358,0.00118050162075233,-0.00153112916619527,0.00044402822814742,0.000877058777921914
"T+13",0.000459567807635957,0.00204493009537856,0.000900181761546751,0.000271738990138438,8.41058266000006e-05,0.00111434064492117,0.00109707844902792,0.000325800596879246,0.000857329330747711,0.000719182495322516,0.00167190408108796,0.000664954243007323,0.00131013256319962,-0.000112852143724679,0.00156402017077758,0.00108614855549767,0.00133647114512107,-2.71461808216766e-05,0.00041276388781032,0.00191023070151129,0.00110493353070719,0.000494790092961574,-0.000146708946928221,0.000471475410713526,0.000809348608152082,0.00118050672104438,-0.00149855933278177,0.000444389221038865,0.00125846316411186
"T+14",0.000459566062192907,0.00204439977865165,0.000900181759182782,0.000273617041753389,8.39395525351174e-05,0.00111388795827817,0.00109704957721053,0.000325800597194256,0.000857329655348742,0.000718689647540049,0.00165486985161379,0.000664951966925018,0.00131013256320446,-0.000112852143724679,0.00156399891015703,0.00103369260302818,0.00131435956165634,-2.71461891024802e-05,0.000412763781215598,0.00191023070149823,0.00110493343853964,0.000494524434910092,-0.00015094606313385,0.000468642550112899,0.000809348608353076,0.0011805086126388,-0.00146767610480896,0.000444241082861405,0.000921297897691462
"T+15",0.000459565460701119,0.00204463830505835,0.00090018175861139,0.000274727342589432,8.38554739713397e-05,0.00111365135270919,0.00109703719475871,0.000325800597143826,0.000857329766185069,0.000718909511214643,0.00163909305780699,0.000664951276186797,0.00131013256320398,-0.000112852143724679,0.0015639906100401,0.00107076501528508,0.00129396301424786,-2.71461908398964e-05,0.000412763809297842,0.00191023070149674,0.0011049334650472,0.000494408796210083,-0.000148316136894048,0.000470099883717458,0.000809348608322961,0.00118050931419264,-0.00143839214262494,0.000444301873309475,0.00121935534274591
"T+16",0.000459565253422875,0.00204453102040409,0.000900181758473279,0.00027538375050533,8.38129585923364e-05,0.0011135276861594,0.00109703188421276,0.000325800597151899,0.000857329804030579,0.000718811428120581,0.00162448087806621,0.000664951066563757,0.00131013256320403,-0.000112852143724679,0.00156398736968591,0.00104456467603198,0.00127514847991793,-2.7146191204428e-05,0.00041276380189961,0.00191023070149657,0.00110493345742357,0.000494358459663289,-0.000149948499966274,0.000469350174665588,0.000809348608327473,0.00118050957438467,-0.001410624629399,0.000444276927150153,0.000955869600292183
"T+17",0.000459565181993354,0.00204457927500701,0.000900181758439897,0.000275771817719248,8.37914601583649e-05,0.00111346304940719,0.00109702960664296,0.000325800597150607,0.00085732981695308,0.000718855183840385,0.00161094734271094,0.000664951002948024,0.00131013256320403,-0.000112852143724679,0.0015639861046561,0.00106308135016208,0.00125779325332183,-2.71461912809113e-05,0.000412763803848665,0.00191023070149655,0.00110493345961614,0.000494336548590759,-0.000148935312159239,0.000469735854142612,0.000809348608326797,0.00118050967088459,-0.00138429503691054,0.000444287164134493,0.00118879361419732
"T+18",0.000459565157378246,0.00204455757100173,0.000900181758431828,0.000276001242378625,8.37805892059222e-05,0.00111342926573857,0.00109702862984618,0.000325800597150814,0.000857329821365521,0.0007188356640339,0.0015984128281853,0.000664950983642123,0.00131013256320403,-0.000112852143724679,0.00156398561079021,0.0010499949844655,0.00124178414648347,-2.71461912969585e-05,0.000412763803335189,0.00191023070149655,0.00110493345898556,0.000494327010886447,-0.000149564185447167,0.0004695374456285,0.000809348608326899,0.00118050970667445,-0.00135932890346647,0.000444282963253427,0.000982886471941954
"T+19",0.000459565148895708,0.0020445673330517,0.000900181758429878,0.000276136877836718,8.37750921726421e-05,0.00111341160804034,0.00109702821092073,0.000325800597150781,0.000857329822872166,0.000718844371989041,0.00158680358859866,0.00066495097778323,0.00131013256320403,-0.000112852143724679,0.00156398541798565,0.00105924356582203,0.00122701675060171,-2.71461913003253e-05,0.000412763803470464,0.00191023070149655,0.00110493345916691,0.000494322859204532,-0.000149173851483885,0.00046963951468018,0.000809348608326883,0.00118050971994818,-0.00133565562331905,0.000444284687140184,0.00116491043126218
"T+20",0.000459565145972567,0.00204456294226675,0.000900181758429406,0.00027621706528275,8.37723125289042e-05,0.00111340237889739,0.00109702803125334,0.000325800597150786,0.000857329823386616,0.000718840487294651,0.00157605132184717,0.000664950976005191,0.00131013256320403,-0.000112852143724679,0.00156398534271501,0.00105270727766598,0.00121339475511313,-2.71461913010318e-05,0.000412763803434826,0.00191023070149655,0.00110493345911475,0.000494321052012555,-0.000149416127003956,0.000469587006392633,0.000809348608326886,0.00118050972487113,-0.00131320824698847,0.000444283979720596,0.00100399944292201
"T+21",0.000459565144965232,0.00204456491715856,0.000900181758429292,0.000276264471960851,8.37709069672283e-05,0.00111339755510449,0.00109702795419817,0.000325800597150785,0.000857329823562277,0.000718842220290545,0.0015660927677634,0.000664950975465598,0.00131013256320403,-0.000112852143724679,0.00156398531332946,0.00105732669562988,0.00120082931957007,-2.714619130118e-05,0.000412763803444214,0.00191023070149655,0.00110493345912976,0.000494320265357192,-0.000149265749549911,0.000469614018696713,0.000809348608326885,0.00118050972669695,-0.00129192329192569,0.000444284270019522,0.00114624635517085
"T+22",0.000459565144618098,0.00204456402888968,0.000900181758429265,0.000276292498706182,8.37701962273598e-05,0.00111339503385434,0.00109702792115099,0.000325800597150785,0.000857329823622257,0.000718841447186031,0.00155686933592976,0.000664950975301844,0.00131013256320403,-0.000112852143724679,0.00156398530185738,0.00105406199526543,0.00118923849423768,-2.71461913012111e-05,0.000412763803441741,0.00191023070149655,0.00110493345912544,0.000494319922932774,-0.000149359086997617,0.000469600122517542,0.000809348608326885,0.00118050972737412,-0.00127174056297988,0.000444284150891542,0.00102049867160338
"T+23",0.000459565144498473,0.00204456442841617,0.000900181758429258,0.000276309068069093,8.37698368328421e-05,0.00111339371607341,0.00109702790697783,0.000325800597150785,0.000857329823642738,0.000718841792074667,0.00154832676096614,0.000664950975252148,0.00131013256320403,-0.000112852143724679,0.0015639852973787,0.00105636927045744,0.00117854668563101,-2.71461913012176e-05,0.000412763803442393,0.00191023070149655,0.00110493345912668,0.000494319773878325,-0.000149301153584662,0.000469607271252244,0.000809348608326885,0.00118050972762526,-0.00125260298216289,0.000444284199777274,0.00113166087310637
"T+24",0.000459565144457249,0.00204456424871673,0.000900181758429257,0.000276318863847518,8.37696551005021e-05,0.00111339302730931,0.00109702790089929,0.000325800597150785,0.000857329823649731,0.000718841638216852,0.00154041478326357,0.000664950975237067,0.00131013256320403,-0.000112852143724679,0.00156398529563023,0.00105473864031765,0.00116868416350651,-2.7146191301219e-05,0.000412763803442221,0.00191023070149655,0.00110493345912633,0.000494319708996186,-0.00014933711214598,0.000469603593665246,0.000809348608326885,0.00118050972771841,-0.0012344564272292,0.000444284179716372,0.00103339238264657
"T+25",0.000459565144443043,0.00204456432954213,0.000900181758429256,0.000276324655094622,8.37695632052679e-05,0.00111339266731322,0.00109702789829234,0.000325800597150785,0.000857329823652119,0.000718841706854159,0.00153308685328548,0.00066495097523249,0.00131013256320403,-0.000112852143724679,0.00156398529494763,0.00105589106230095,0.00115958660609276,-2.71461913012193e-05,0.000412763803442266,0.00191023070149655,0.00110493345912643,0.00049431968075354,-0.000149314793106481,0.000469605485558943,0.000809348608326885,0.00118050972775295,-0.00121724957861493,0.000444284187948627,0.00112026270445275
"T+26",0.000459565144438148,0.0020445642931884,0.000900181758429256,0.000276328078869799,8.37695167372916e-05,0.00111339247915419,0.00109702789717428,0.000325800597150785,0.000857329823652934,0.000718841676234461,0.00152629985769695,0.000664950975231101,0.00131013256320403,-0.000112852143724679,0.00156398529468114,0.00105507660634605,0.00115119468059421,-2.71461913012193e-05,0.000412763803442254,0.00191023070149655,0.0011049334591264,0.000494319668459755,-0.000149328646261499,0.000469604512295289,0.000809348608326885,0.00118050972776576,-0.00120093377430296,0.000444284184570413,0.00104346847697048
"T+27",0.000459565144436461,0.00204456430953962,0.000900181758429256,0.000276330102999707,8.37694932401773e-05,0.00111339238080918,0.00109702789669477,0.000325800597150785,0.000857329823653213,0.000718841689894174,0.00152001386571063,0.00066495097523068,0.00131013256320403,-0.000112852143724679,0.0015639852945771,0.0010556522101718,0.00114345365623235,-2.71461913012193e-05,0.000412763803442257,0.00191023070149655,0.00110493345912641,0.000494319663108375,-0.000149320047777502,0.000469605012979943,0.000809348608326885,0.00118050972777051,-0.00118546287220379,0.000444284185956707,0.00111135533697034
"T+28",0.000459565144435879,0.00204456430218515,0.000900181758429256,0.000276331299661775,8.37694813585671e-05,0.00111339232940722,0.00109702789648912,0.000325800597150785,0.000857329823653308,0.000718841683800457,0.00151419189415683,0.000664950975230552,0.00131013256320403,-0.000112852143724679,0.00156398529453649,0.00105524541129922,0.00113631304730045,-2.71461913012193e-05,0.000412763803442257,0.00191023070149655,0.0011049334591264,0.000494319660778965,-0.000149325384751422,0.000469604755408295,0.000809348608326885,0.00118050972777228,-0.00117079311966292,0.000444284185387823,0.00105134267831439
"T+29",0.000459565144435679,0.00204456430549305,0.000900181758429256,0.0002763320071263,8.3769475350482e-05,0.00111339230254098,0.00109702789640092,0.000325800597150785,0.00085732982365334,0.000718841686518917,0.00150879968989584,0.000664950975230513,0.00131013256320403,-0.000112852143724679,0.00156398529452063,0.00105553290994904,0.00112972628390391,-2.71461913012193e-05,0.000412763803442257,0.00191023070149655,0.00110493345912641,0.000494319659764992,-0.000149322072156942,0.000469604887913162,0.000809348608326885,0.00118050972777293,-0.00115688302972562,0.000444284185621272,0.00110439446475675
"T+30",0.00045956514443561,0.00204456430400522,0.000900181758429256,0.000276332425378092,8.37694723124186e-05,0.00111339228849881,0.0010970278963631,0.000325800597150785,0.000857329823653351,0.000718841685306189,0.00150380552829206,0.000664950975230501,0.00131013256320403,-0.000112852143724679,0.00156398529451444,0.0010553297248391,0.001123650408239,-2.71461913012193e-05,0.000412763803442257,0.00191023070149655,0.0011049334591264,0.000494319659323618,-0.000149324128243847,0.000469604819747508,0.000809348608326885,0.00118050972777317,-0.00114369326380936,0.000444284185525473,0.00105749615850338
