"","MMM","AA","AXP","AIG","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX"
"T+1",-0.000358160889521335,-0.00252372288119995,0.00689815679826072,-0.000944946054280772,-0.00314876143470854,0.000416697600214313,-0.00209453942792437,0.00132058557541972,-0.00127023406121858,-0.00155671742970023,-0.00359166634888413,0.00184944267731403,-0.00404221264688376,0.00462068964361878,0.00130523797733736,0.00136455126793503,0.00484658682376885,-0.00113616419458363,-0.00163802188324393,-0.00349193831574407,0.000865400454683169,0.000433050126469561,-0.00184521587738262,-0.00126282657873381,0.00276876512747577,-0.00324411025027163,-0.00112670811095718,-0.0032537951713472,-0.000603505608440999
"T+2",-0.000793663796333454,0.000864759889347051,0.00373752498581011,0.00138190227498882,-0.00194229787702798,-0.00023393629345765,-0.00655967760208358,-0.000480538755176817,-0.000734482059113404,-0.000831495648975535,-0.00156268977751649,0.00187741712647842,-0.00331331319783,0.00367340180956616,0.00113096969876976,-5.31816705806381e-05,0.00229768836104784,0.00211289210651718,-0.00218257407626056,0.00271458939103163,0.000276969052929083,-0.000369363503113002,3.97429713744816e-05,0.00271797630793603,0.00222198013265693,0.00594517570003288,-0.00102812230954773,-0.00354900021857699,0.00140033295045198
"T+3",-0.000829857131759406,-0.00146660169227325,0.00262465368184128,0.000190137660261478,-0.00189932497039993,-0.000290954820219611,-0.00170987610069507,0.000824576535331624,-0.000912243174872105,0.00115265027246239,-0.00156412291650399,0.000978693679592169,-0.00221260786902321,0.0017730792616533,0.00114426405760392,-3.03560535139806e-05,0.00204566767575207,-0.000529895454483052,-0.00192738135948404,-0.00317122310968095,0.000101395790812876,0.000269186070689734,-0.000783594653603932,-0.000905598884866561,0.00172804052954126,-0.00540422954189656,-0.000710476704510719,-0.00256242611394928,0.000472983512280881
"T+4",-0.000834161711584628,0.000157409266093657,0.00173614322152523,-0.000624358643928922,-0.001856987670642,-0.00026529277650545,-0.00644000376329632,-8.94538785265596e-05,-0.00083810554789246,-0.000693350476740074,-0.00156401024682566,0.000500982547820878,-0.00244709847965395,0.000983603821545885,0.00115736723992232,-8.57120676356425e-06,0.00180967234757077,0.00119786026203832,-0.00172346683435175,0.00196432450312588,-5.39622468570746e-05,-0.000107749910996767,-0.0004425350486495,7.62920599177206e-05,0.00139710053144326,0.00366637921314572,-0.000585527049513956,-0.00234313191837655,0.000809510854921087
"T+5",-0.000834673667922822,-0.000973865956801109,0.00102676125141277,-0.00118101573992065,-0.0018152765765727,-0.000276842364419862,-0.00182659686445731,0.000550682363484896,-0.000869025626846251,0.00102412338908652,-0.00156401910462419,0.000247058021640034,-0.00239714337810685,0.000655621884365092,0.00117028199489554,1.22203252486138e-05,0.0015886833646306,6.83181603483616e-05,-0.00156052670782635,-0.00251659453400161,-0.00019143260867494,0.00011475549832304,-0.000583815673514328,-0.000189773849067514,0.00117537042183013,-0.00358298244354163,-0.000536376625153478,-0.00229438753720304,0.0006873879013904
"T+6",-0.000834734556395765,-0.000185827167196794,0.000460394503922092,-0.00156145592230545,-0.00177418242606228,-0.000271644299040559,-0.00632616320439641,0.000102366418934579,-0.00085612999852015,-0.000573772213649135,-0.00156401840824699,0.000112085941845511,-0.00240778564716772,0.000519364129339516,0.00118301103216034,3.20638342879952e-05,0.00138174651144248,0.00080677056267001,-0.00143032762164115,0.00139314147296681,-0.000313074853014321,-1.65895034331239e-05,-0.000525291548486789,-0.000117677178556217,0.00102681104009444,0.00221081220119319,-0.000517042724512635,-0.0022835527100897,0.000731705298194034
"T+7",-0.000834741798040922,-0.000734769742224623,8.21034055477343e-06,-0.00182146290580599,-0.00173369609397597,-0.000273983766378072,-0.00193762829051141,0.000416342058724157,-0.000861508291058583,0.000912870703047063,-0.00156401846299437,4.03423312614564e-05,-0.00240551845348266,0.0004627568174729,0.00119555702238815,5.10025469699358e-05,0.00118796824866369,0.000323997986350147,-0.00132629062102657,-0.00201822024045181,-0.000420711403993403,6.09434857156081e-05,-0.000549534598186746,-0.000137213427745898,0.000927276114773749,-0.00241967224351543,-0.000509437506066331,-0.00228114436115287,0.000715622886143974
"T+8",-0.000834742659311078,-0.000352379998656937,-0.000352811062107234,-0.0019991613577552,-0.00169380859014771,-0.000272930853991652,-0.0062178715929467,0.000196450922618891,-0.000859265202943953,-0.000470265440502738,-0.00156401845869027,2.20743945663056e-06,-0.0024060014489018,0.000439239713758966,0.00120792259784542,6.90777189235087e-05,0.00100651185485533,0.00063961665007683,-0.00124315872038113,0.000958294981813025,-0.000515954854733664,1.51757417895986e-05,-0.000539492150589656,-0.000131919632211449,0.000860587621305045,0.00128107787060427,-0.000506445903456466,-0.0022806090370041,0.000721459058753433
"T+9",-0.000834742761744471,-0.000618750148537092,-0.0006410486072027,-0.00212060709509662,-0.00165451105738387,-0.000273404733013471,-0.00204324769509925,0.000350450486948371,-0.000860200712541848,0.000816570537463825,-0.00156401845902865,-1.80629366943154e-05,-0.00240589855316049,0.000429469700860365,0.00122011035294589,8.6328724661759e-05,0.000836593813575726,0.000433276965971375,-0.00117673126799303,-0.0016388036587459,-0.000600232126965059,4.21924530898495e-05,-0.000543652136853285,-0.000133354107728651,0.000815906268033351,-0.0016766151247382,-0.000505269121193269,-0.00228049004596427,0.000719341160603493
"T+10",-0.000834742773927175,-0.000433198475301335,-0.000871175912093934,-0.00220360763312392,-0.00161579476949647,-0.000273191456647634,-0.00611485845576874,0.000242597727470533,-0.000859810545877397,-0.000380670126017931,-0.00156401845900205,-2.88375352274321e-05,-0.00240592047372777,0.000425410818729303,0.00123212284479493,0.000102793143354181,0.000677480430209427,0.000568174138191864,-0.00112365168727236,0.000627242655527878,-0.000674805848932928,2.62444812898608e-05,-0.000541928902995575,-0.000132965403632306,0.000785969719367325,0.000687215878420144,-0.000504806219974234,-0.00228046359681642,0.000720109728100323
