"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","CVX","CSCO","TRV","UNH","NKE","GS","V"
"T+1",0.0022809224437463,0.000671810862103373,0.000861412071723736,0.0011114759710504,0.000235651612122047,0.00458260133658449,-0.000714795298637372,-0.000418532912757907,-0.000499007791641669,0.000766268695860882,7.82831075295081e-05,0.000431459269021244,0.000534451725669713,0.00107115886104175,0.000929014695967334,-0.00168203910954144,-0.00028495273085731,-0.00173736231758881,0.000350672543723695,0.000329782907522056,0.000142070957353642,0.00136558438459958,0.000527753389363068,-0.000231799263095645,-0.000131812726107608,0.0009620796821404,0.00072883246410817,-0.000475888642980951,-0.000460963310466879,7.93245533414703e-05
"T+2",0.00268650880425985,0.00115988911692444,0.00120146423112705,0.00114555542692802,0.000699862601728173,0.00408483743984068,-0.000994178571435746,0.00128893563593599,-0.000205495935907596,0.00104889119341187,0.000196694892427632,0.000535131508462383,0.000484435778502846,-3.32575436392678e-07,0.00207447926652199,-0.00139394113369356,0.00113520161316812,0.00226197455005834,0.000201339589412685,0.000877732870079386,-8.91976247488185e-05,0.00121737266148979,0.000244194467066069,0.00015191838814705,-0.00011618736194787,0.000703680376974671,0.000801851497420055,0.000581520040623194,0.00136800692132001,0.000200478295052428
"T+3",0.00264801081661813,0.000807812191351051,0.000683072317619721,0.00115302530745937,0.000487163195800652,0.00270753441848786,-0.000658374241507751,0.000840600114306682,-0.000160041156538596,0.00110978472749586,0.000164760152108711,0.000656733983570741,0.000468803817440839,0.00010667930706215,0.000946835622362644,-0.00133447056648609,0.000209718154172622,-0.00191684103950393,0.00137682407093807,0.000336870708180057,3.38250157253275e-05,0.00115612247161546,0.000277208476145772,0.00028957677577869,-8.96123875882672e-05,0.000748331747789842,0.00101512156519231,0.00076212539850552,-0.000514652251440039,0.000333381996499809
"T+4",0.00261155023693245,0.00104712254037206,0.00089344365546557,0.00115923835320587,0.00038914032747733,0.00221655885125719,-0.000394232388680108,0.000671948460653548,-0.000118055863342892,0.00114652281284472,0.000135654431234742,0.000733777935265448,0.000479759864185985,0.000149394111803169,0.00203523755554428,-0.0012779778217347,0.000744778191011763,0.00175627841660466,0.000360126711115701,0.000121898546614082,8.4200968523959e-05,0.00114600753438599,0.000282961485217531,0.000384147202410728,-6.53590219146972e-05,0.000745139170964296,0.000858559394550805,0.000842670847689506,0.00136280776377707,0.000406825822104272
"T+5",0.00257701924057524,0.000884460806561223,0.000808071760893324,0.00116440603122777,0.000343966328648177,0.0020415378109485,-0.000186459849147395,0.000608506286416338,-7.9275236328531e-05,0.00116868751284782,0.000109127113989219,0.000782590843781062,0.00047208104770188,0.000166444130001738,0.000984711731815054,-0.00122431379330174,0.000435437985911787,-0.00147234133214494,0.00123948627537674,3.64552793571111e-05,0.000104829176556149,0.00114433714029633,0.000283964002461039,0.00044911647705673,-4.3224447538961e-05,0.000745367440479899,0.000973492134677072,0.000878592093107247,-0.00050946745190706,0.000447411565470903
"T+6",0.00254431570926278,0.000995023679226726,0.000842716976622262,0.00116870422847717,0.000323147817568853,0.0019791469984616,-2.30271037428205e-05,0.000584641062537642,-4.34546687641524e-05,0.00118205984626047,8.494978598928e-05,0.000813517347229318,0.000477462936257867,0.00017324980598069,0.00199867952503267,-0.00117333684112273,0.000614280276314544,0.00136556949721301,0.000478912604375504,2.49482668098333e-06,0.000113276122826728,0.00114406128921081,0.000284138700746926,0.000493749950737154,-2.30235653443339e-05,0.000745351119190044,0.000889119679320797,0.000894612065500897,0.00135763728260292,0.000469839625979259
"T+7",0.00251334292906143,0.000919872944473928,0.00082865742014974,0.00117227923828167,0.000313553572764466,0.00195690616686838,0.000105528201643294,0.000575663613110219,-1.03682243351062e-05,0.00119012759817563,6.291426751576e-05,0.000833111521078415,0.00047369090648101,0.000175966355898177,0.00101999755219656,-0.00112491241736356,0.000510884195529743,-0.00112891375015802,0.00113674625119142,-1.10031630728368e-05,0.00011673502246487,0.00114401573479832,0.000284169143605929,0.000524412859991347,-4.58744660475113e-06,0.000745352286163663,0.000951057741660787,0.00090175657044522,-0.000504311249550128,0.000482233581502568
"T+8",0.00248400930437621,0.000970953680689708,0.000834363002408214,0.00117525273958015,0.000309132049389631,0.00194897784264498,0.00020664910310038,0.000572286540318797,2.01927879377698e-05,0.00119499500754662,4.28308209745185e-05,0.000845525845558096,0.000476334626894296,0.000177050692483848,0.00196462164219349,-0.00107891271129692,0.000570661720731311,0.00106370153818861,0.000567774272035931,-1.63681012004816e-05,0.000118151390738504,0.00114400821188249,0.000284174448567335,0.000545478081368981,1.22380796720368e-05,0.000745352202724949,0.000905588831810611,0.000904942840037026,0.00135249531963077,0.000489082596978362
"T+9",0.00245622808707575,0.000936233572883324,0.000832047590185088,0.00117772593838396,0.000307094383126907,0.00194615158479,0.000286190252186229,0.00057101617720166,4.84211300053433e-05,0.00119793159685103,2.45265171543202e-05,0.000853391216840077,0.000474481710020069,0.00017748351568487,0.00105287022940645,-0.0010352163119605,0.0005361018757923,-0.00086357610849758,0.00105988822003943,-1.85004602879013e-05,0.000118731372610321,0.00114400696953824,0.000284175373007957,0.000559949752925326,2.75937159906002e-05,0.000745352208690824,0.000938967689412177,0.000906363836171928,-0.000499183486639231,0.000492867426841552
"T+10",0.0024299171199526,0.000959833191357783,0.000832987219747879,0.001179783012422,0.000306155321304487,0.00194514409149915,0.00034875688585674,0.000570538301079628,7.44948506258858e-05,0.00119970329018635,7.8437462138791e-06,0.000858374497686703,0.000475780372664402,0.000177656281158081,0.00193289292575951,-0.000993707887706601,0.000556082343002695,0.000830473525817041,0.000634250145245232,-1.93479920151121e-05,0.000118968866613751,0.00114400676437587,0.000284175534100639,0.000569891698176236,4.16078729845051e-05,0.000745352208264264,0.000914464173967077,0.00090699756472415,0.0013473817175662,0.000494958959141912
