"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW"
"T+1",-0.00184539975299445,-5.38785656905542e-05,-0.00840041316233057,-0.00242829488888311,0.00416971268724281,-0.00308194696645262,-0.00542349723133366,-0.0098516185080306,-0.00712384394466194,-0.00238430123534698,-0.00668328370555488,0.0131224221678003,0.000989637096577391,0.00992193310859551,-0.00635775781530609,-0.0013592848410489,-0.0022847684077464,0.00266522843417585,-0.00121023412476693,-0.00299331471580356,-0.00142087289171833,0.00115756521354239,0.000645910115644762,-0.00146559808973741,-0.00616056834908718,0.0140811079976874,0.0124121547198763,-0.000185270210525584,-0.000797969005842854,0.00713827346804854
"T+2",-0.000973607772132753,0.00110119409221219,-0.00188434556679114,0.00222725404897172,0.000451580374718339,0.00152167095681473,0.000290729606917534,-0.0048340738217726,-0.00545312520385495,0.00430310886849514,-0.00651467901974397,0.0028382411460462,0.00201664949199224,0.0080025135396745,-0.00123656701987571,0.00273681202807274,0.00153823779958596,0.0029539340911859,0.00178360749681094,-0.00219978533787399,-0.000386604639997028,-0.00134130962911493,0.000135872051368508,0.000642621916723638,-0.00622144112508293,0.0100594924316697,0.00614596865193856,-0.00293066726588235,-0.000561035126221948,-0.00092646958185294
"T+3",-0.00115346446090638,0.000661569888864154,-0.00177802858816082,-0.00181536589056295,0.00122188329152612,-0.0025539710781764,0.000849367087877512,-0.002332974636041,-0.00352488938674415,-0.0029209300109435,-0.00478308808569384,-0.000827455424700996,-6.95119267857087e-06,0.00678357963048908,0.000450406532548401,-0.000857774990157203,0.00029133827026167,0.0028621135067366,-0.00102579376155627,-0.00177184008678821,-0.00132441364517576,0.00052360247123003,0.000242082728156607,0.000213688398663122,-0.00507957044887201,0.00717242972905666,0.00400255700062723,-0.00182993150951782,-0.000965222085988931,-0.000423431905743042
"T+4",-0.00116108566147776,0.000982458291548453,-0.00183577729080893,0.000636176663787948,0.000555798580905171,0.00124685083677108,0.00071894470787509,-0.00108016338053553,-0.00230043158277005,0.00298675955292089,-0.00345715060436942,0.00198159995733324,-0.000125223717215942,0.00581086623090125,-0.000349124940796759,0.00235242119423886,0.000967325400173892,0.00277388169330962,0.00145338094187972,-0.00148398288409624,-0.000454438763728319,-0.000749686135737591,0.000139234007492693,0.000133206576823177,-0.00415079326133835,0.00525718982747699,0.00352214207159755,-0.00107136020551,-0.00116228146645042,-0.000315041532036538
"T+5",-0.00116140860024943,0.000748236958434626,-0.00180440965131707,-0.000850498063415107,0.00113176529742963,-0.00229768205034654,0.000749393787618658,-0.00045262487631501,-0.00152288305866911,-0.001844443125449,-0.00244183563025554,-0.000171003780331576,-0.00013213634092002,0.00503463763424991,2.98084313067382e-05,-0.000514489382705702,0.000600849522157806,0.00268909838521695,-0.000734383156200409,-0.00129035585135919,-0.00126148613709539,0.000119665227435854,0.000238827190231823,0.000118105580109362,-0.00339534250666499,0.00398664455068653,0.0034144639669771,-0.000548591303040024,-0.00125835680606616,-0.00029168647600358
"T+6",-0.00116142228437299,0.000919198677296093,-0.00182144776234247,5.10574656054678e-05,0.000633724052443373,0.00100784335152748,0.000742284988828044,-0.000138288161547512,-0.00102912843080907,0.00210642786517575,-0.00166437476865428,0.00147855531381948,-0.000132540360083905,0.00441520457769428,-0.000149784874623995,0.00204584518380706,0.000799528702906559,0.00260762879899922,0.00119622372770124,-0.00116011270491038,-0.00051281456421614,-0.000473893678625061,0.00014238649574305,0.000115272143980094,-0.00278087237281939,0.00314378131509756,0.00339032946674816,-0.000188325466531609,-0.00130519786920491,-0.000286654122818973
"T+7",-0.00116142286422048,0.000794411114491713,-0.00181219308994708,-0.000495667622966346,0.00106438275995382,-0.00207479081506357,0.000743944645562206,1.91644403028778e-05,-0.000715587056892758,-0.00112452364394765,-0.00106904680961449,0.000214483735067931,-0.00013256397361934,0.00392089489468451,-6.46676537360956e-05,-0.000240697391045927,0.000691817884184506,0.00252934341915495,-0.000507453073394128,-0.00107250470432752,-0.00120733280754924,-6.86350111995403e-05,0.000235774489757048,0.000114740499582655,-0.00228107335474641,0.00258463679117936,0.00338492006524213,5.99514916842876e-05,-0.00132803500103025,-0.000285569793218613
"T+8",-0.00116142288879079,0.000885495457433277,-0.00181721999469129,-0.000164120299643307,0.000691990063120675,0.000799981649140496,0.000743557173563577,9.80331204944187e-05,-0.000516483721733351,0.00151769061186535,-0.000613184146528736,0.00118315285512136,-0.000132565353749556,0.00352643408874061,-0.000105008474092027,0.00180133141839063,0.000750211624414622,0.00245411779224453,0.000995967776698737,-0.00101357521762978,-0.000563050844942531,-0.000345329684376012,0.000145342567090068,0.000114640745872872,-0.00187454577153684,0.00221370757582542,0.00338370762560692,0.000231051389965924,-0.00133916913324375,-0.000285336150896803
"T+9",-0.00116142288983192,0.000819011608060388,-0.00181448950675744,-0.000365178619263906,0.00101399985471719,-0.00188094520572697,0.000743647634769579,0.000137538778972301,-0.000390050206511909,-0.000643064866484612,-0.000264114756388198,0.000440853225956523,-0.000132565434413437,0.00321165302582781,-8.58891728505918e-05,-2.23309548485786e-05,0.000718554369010582,0.00238183232904153,-0.000330735886249963,-0.000973936321874197,-0.00116073024548388,-0.000156413448109937,0.00023291198887271,0.000114622028845732,-0.00154388350543755,0.00196763795175231,0.0033834358746808,0.000348964769452912,-0.00134459752508804,-0.000285285807592957
"T+10",-0.00116142288987604,0.000867539182445733,-0.00181597263897026,-0.000243251989051688,0.000735556408414885,0.000619207029152427,0.000743626515231082,0.000157327331893192,-0.000309763084458167,0.00112396224986209,3.17942890059881e-06,0.00100968393197496,-0.000132565439127964,0.00296045666848272,-9.49506563984093e-05,0.00160631622005887,0.00073571685621841,0.00231237211441687,0.000840022527252667,-0.000947273234432403,-0.000606282524510631,-0.000285398021304728,0.000148114459358873,0.000114618516925166,-0.00127492873154818,0.00180439855893795,0.00338337496561473,0.000430224695389027,-0.00134724411105003,-0.000285274960036647
