"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","RTX"
"T+1",-0.00267355666253101,-0.00225084136056554,0.00688099845149289,0.00196244384118932,0.00349172033924702,0.00319453032457252,0.00554641821693167,0.00809014677264109,0.0010315359720161,0.00175256574393906,0.00406367548970278,0.00607592566558099,0.0024480386881613,-0.00102201580770839,0.00110790113014616,0.000353835297846052,0.00519616673978125,-0.0051990861079697,0.0120701270483568,0.00605805494527248,0.0115437848316029,0.00116559459049089,0.0055837858744664,0.00311878187152042,-0.00302340482855756,-0.000687462036960041,0.000810820522740187,0.000102672494977384,-0.00605490688428614,-0.000156445430228871
"T+2",0.00114013036744102,-0.00112860762707182,-0.00261756116069328,-0.00358621123304094,0.00408987166224683,0.00134228754911863,0.00641240736280057,-3.39027422717097e-05,0.000646027318674787,0.000230130709386702,-0.000421467398480043,-0.00413731210702957,0.00122342159015737,-6.76391636313146e-05,0.00125120398500607,0.000835030513458885,-0.00126914765962982,0.0105998729246775,-0.0125488269571202,-0.00443818396814781,-0.00977259621644516,0.00343920690722644,0.00628739088035036,0.0013358325479882,-0.00144800704034201,0.000475839124503995,0.000491392113592588,0.000899475814229296,-0.0022833141871496,0.00091264332604542
"T+3",0.000346482822429731,-0.000571603581545453,0.00171449950647292,0.0025058814007423,0.00272301016350519,0.00114549347712835,0.00622531713782002,0.00189203519639807,0.000688333964372195,0.001261622840936,0.00190899915513114,0.00424227253674493,-0.000139520243924405,0.000384569314659468,0.000542429807027545,0.000581886669553787,0.00183603002596583,-0.0100374505960985,0.0107803585040019,0.00276819976599742,0.00243871944184994,0.00131422470253171,0.00616734033313578,0.00139967876982046,-0.000502184014101907,0.00258269869407741,0.000933204173497765,-0.000104683982313935,-0.00106543065065278,0.000740255253685176
"T+4",-0.000286018125426924,-0.00016376520037009,-0.00194857016086997,-0.000736292871555399,0.00198835091089157,0.000904691132490801,0.00596871818144451,0.00154931569360958,0.000710870570701624,0.000488812917820904,0.000896904615120575,-0.00146442298112624,0.00139806419592445,0.000739200961858838,0.000578089075973869,0.000660917411246465,-7.15187556805507e-06,0.0077750320537677,-0.00877593084912513,-0.00338986532992656,-0.00285165282668575,0.0020020397198988,0.00600673984199582,0.00138258037759091,0.00013082909494619,0.00312452860023958,0.000725979905178935,-0.000625515167306867,-0.00053617605940117,0.000628676719221305
"T+5",-0.000454812881833404,0.000136329643598265,0.000666417296787149,0.00134061061237876,0.00168786468915928,0.000712740094998811,0.00571883647071421,0.00167242210669077,0.000725646046862334,0.00108203178667684,0.0013449945751119,0.00201528146878324,1.52375222732208e-05,0.00101056986296768,0.000480523645464933,0.000634303053164105,0.00124809416718072,-0.00648799959251237,0.00812893037240243,0.00210838278781266,-0.000129134238297663,0.00163120832436501,0.00584859672680259,0.00137197520582241,0.000555522190065018,0.00311672097134113,0.000828101784512692,-0.000853309007799434,-0.000252458553579677,0.000570540555462361
"T+6",-0.000463059241844003,0.000357156081880224,-0.00127475516850835,8.40972427771916e-05,0.00157477700718875,0.000555565080619111,0.00548101921817649,0.00167335383550161,0.000735274990539474,0.000624197222962472,0.00114704917618425,6.40392392644405e-05,0.00121891434444246,0.00121842058823992,0.000487607322684655,0.000643148411622591,0.000333509658960099,0.00472850212017724,-0.00636812136750637,-0.00283771669119588,-0.00138643245651443,0.00178229098729085,0.00569513803575038,0.00136331606676082,0.000840466619005182,0.00307025523403398,0.000777952503974879,-0.000950499026717297,-8.4597650391902e-05,0.000540604181123457
"T+7",-0.000451400182021462,0.000519652513810565,0.00015263990267953,0.000857200282859319,0.00153355803995682,0.000427124938690359,0.0052551049311509,0.00168961943121115,0.00074155101301899,0.000977964400360775,0.00123451448613324,0.00107832903845249,0.000176874276178886,0.00137761475312089,0.000474127677325719,0.00064020206236214,0.00101918297787216,-0.00405168397191759,0.00608953212187066,0.00161722550954236,-0.000765384418823438,0.00171107085524014,0.00554634788554639,0.0013563690503426,0.00103164800978906,0.00305685252231593,0.000802585522181318,-0.00099179928302444,1.84690847423906e-05,0.000525199965585632
"T+8",-0.000446287737825594,0.000639226468532231,-0.000899347781567437,0.000383919145227143,0.00151873351866589,0.000322150622933961,0.00504053069004599,0.00169572002739429,0.000745641627260341,0.000704538916563405,0.00119586767619451,0.000591757728806363,0.00107814430405604,0.00149954272819088,0.000475400811843505,0.000641183105290776,0.000499299439030376,0.00281319672154523,-0.00460997965510242,-0.00239615716255251,-0.00105949611560703,0.00174211250621048,0.00540209101464859,0.00135079009002432,0.00115991977550346,0.00305658575686479,0.000790486143654189,-0.00100933788648041,8.25611157495955e-05,0.000517273843590714
"T+9",-0.000445382097969098,0.00072721566607167,-0.00012445789324946,0.000674089225276668,0.00151343239402156,0.000236355915301471,0.00483672983294538,0.00170006677825435,0.000748307826554708,0.000915880509267193,0.00121294394202808,0.00080282873835025,0.00029875177133985,0.00159292825082283,0.000473531776013148,0.000640856427310035,0.000895189789766042,-0.00255252414343674,0.00458076255771313,0.00121955453803344,-0.000916505829335577,0.00172800992024959,0.00526222967770609,0.00134631003183229,0.00124598278519346,0.00305759618994561,0.000796429188715841,-0.00101678502507334,0.000122584798750101,0.000513195528883686
"T+10",-0.00044548820670315,0.000791963034356513,-0.00069531353604983,0.000496264641647913,0.00151154150565917,0.000166236497179225,0.0046431616482603,0.00170245394490615,0.000750045614142914,0.000752524049634192,0.00120539872046036,0.000724569611252657,0.000972729728263566,0.00166445290175577,0.000473748020378863,0.000640965206780116,0.000593223803585045,0.00164108834084905,-0.00331369041390642,-0.00203790812718688,-0.000984892096512497,0.00173427664695464,0.00512662996251778,0.00134271241061221,0.00130372613655162,0.00305792317877867,0.000793510048567604,-0.00101994712752944,0.000147612945827474,0.000511097069123361
