"","MMM","AXP","BA","CAT","KO","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PG","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW","AMGN","HON","CRM"
"T+1",0.000569897101242478,0.000966093220416277,0.0025093554461941,0.0026447842152126,0.00124034045529402,0.0012589234196359,0.00242365318765538,2.79105560857158e-05,0.000478498463418518,0.00262351792433031,0.000768822038516203,-0.000380558728328599,0.00319644707470654,0.00132764861261867,0.00200354022734832,0.000489172446497539,-0.00223475697061107,0.000157445445315846,0.000659523843712627,0.00160130694530643,0.00150644120588423,0.00256350275490601,0.000980592909046162,0.00453714376975515,0.00167498650075198,0.00154162702265505,0.000890182141626897,0.000278516519402669,0.000357411935073799,-0.00169386612953963
"T+2",0.000771173941488721,0.001310306577863,-0.00208845793686752,0.00140901807549567,0.000911786993568721,0.00113434407670449,0.000906932728466206,0.00122206900939684,0.000836094796441399,0.0015870830607171,0.00121291434732936,0.000346363178819427,0.00291094068089755,0.000911653128980999,0.00200516267014002,0.000193301747742768,0.00205040808764986,0.00015688434303825,-0.000115945717047422,0.00150099744114708,0.00218055715616118,0.00220552850324802,0.00107151336888197,0.00363893327120609,0.001761499771714,-0.00121867878346435,0.00119966505895683,0.00202776790387189,0.000360785483811179,0.00853371179897108
"T+3",0.000806893576579761,0.00140612527019866,0.00112619669070492,0.00200959298818088,0.000959030582715327,0.00118489563110346,0.00106798481842531,0.00011308098548218,0.00062290257794973,0.00209177651243294,0.000909628375989943,6.94265821771456e-05,0.00285488454380686,0.000822397095267317,0.0019064371326052,0.000215761817714318,-0.0010480911564048,0.000193766555172445,6.74483345807497e-05,0.00172343849513011,0.0020021617416611,0.00210111002769375,0.00102166916552279,0.00336681642342859,0.00171823800970899,1.39581678783875e-05,0.0012628120106303,0.000337874155226649,0.00039230315640794,-0.00373762217546754
"T+4",0.000820305132462028,0.00140629845321697,-0.000622572758774251,0.00174558863524536,0.000975324968847004,0.0011739106925009,0.00103599137339811,0.000990892324361961,0.000686478586572046,0.00186708122950764,0.00111081201098143,0.000178725284985797,0.0027776454490337,0.00074342166933549,0.00182033875392211,0.000204946603058892,0.000926220071888744,0.000209379689616551,-3.11042739056962e-05,0.00167574694562573,0.00209550708787547,0.00210390248343312,0.0010403446275038,0.00319512131376347,0.00169667518593314,-0.000460311154771394,0.00130758478689706,0.00130816009027527,0.000421560114276466,0.00378354705584818
"T+5",0.000829118585962418,0.00140295342151126,0.000376234348717387,0.00186517312470072,0.000990990981338264,0.00117737327359263,0.0010264527142219,0.00031040712320328,0.000660074035928111,0.00196872517906627,0.000978869639680237,0.000135639884190977,0.00270714323548426,0.00069192172718451,0.00173875386011951,0.000198423420684679,-0.000366947460217577,0.00021856293305297,1.05454116657095e-05,0.00169768224925643,0.0020576338878874,0.0020940551239301,0.00103303273042572,0.00309353577784153,0.00167232305802483,-0.000266422327177898,0.00134782492380511,0.000698982878608683,0.000449139322812289,-0.00160823263070959
"T+6",0.000835864172608489,0.00140251901287437,-0.000188424902804921,0.00181150045138891,0.00100423041525955,0.00117650854421654,0.00101454133980433,0.000836337396848805,0.000669295803298727,0.00192287925378481,0.00106500526495218,0.000152624767638043,0.00264001377037684,0.000656969397468769,0.00166192942508088,0.000192107591198989,0.000474798975617013,0.000223542700238442,-8.07661267796967e-06,0.00169077637777914,0.0020743194163948,0.0020974521123523,0.00103587877028324,0.00303318652850109,0.00164911961490596,-0.000343703933751144,0.00138464256064456,0.00107455639705126,0.000475130272802372,0.0020908100891891
"T+7",0.000841164652285363,0.0014025809372111,0.000131472677056494,0.0018356574366676,0.001015537734113,0.00117675744385572,0.00100311372789119,0.000430038021655861,0.000665781580622538,0.00194356880897621,0.00100887855990165,0.000145929091670756,0.00257641964338155,0.000633386113060414,0.00158955455890416,0.000186378464324843,-7.38786137429093e-05,0.000226292761250565,1.32464219084118e-07,0.00169335387106747,0.00206717297256218,0.00209551862859882,0.00103477014157774,0.00299734413386645,0.00162641118783273,-0.000312576015978802,0.0014183681761121,0.000842172326476632,0.000499624536124295,-0.000477132682250163
"T+8",0.000845346650509834,0.00140260413221109,-4.96799059453026e-05,0.00182479409677164,0.00102518612314817,0.00117669184464371,0.000991837430147787,0.000743898076210846,0.000667062049538095,0.00193423284042345,0.00104542323777097,0.000148568619859601,0.00251613843708323,0.000617460389968937,0.00152137383088912,0.000181142574675141,0.000283654261073969,0.000227805119022602,-3.49900065391867e-06,0.00169246652782396,0.00207026302737112,0.00209642983512182,0.00103520194623055,0.00297605639089524,0.00160428630525467,-0.000325059448888587,0.00144926378462856,0.000985856048875576,0.000522708297691452,0.00129984406919162
"T+9",0.000848648239511947,0.00140260492616068,5.2913091521444e-05,0.00182968057843603,0.00103341961207214,0.00117671009542952,0.000980747393128242,0.000501448284667074,0.000666584719551886,0.00193844568369239,0.00102163607866783,0.000147528081296584,0.00245900163851903,0.000606707108836801,0.00145714403265655,0.000176361656813302,5.0659796371946e-05,0.00022863761702995,-1.89393794373079e-06,0.00169278366777829,0.00206893120953844,0.00209597189344817,0.00103503375850728,0.00296341305329696,0.00158271402562811,-0.000320044095512243,0.00147756699853631,0.000897003398875401,0.000544462781250586,6.91272197320304e-05
"T+10",0.000851255013177246,0.00140260421271806,-5.18778543469805e-06,0.00182748274386507,0.00104044564351859,0.00117670518489508,0.000969836296483498,0.000688735002711452,0.000666760592288444,0.00193654464997176,0.00103711729801683,0.000147938276007046,0.00240484477050832,0.000599446207979908,0.00139663622696629,0.000171995726943548,0.000202493533449601,0.00022909577633388,-2.6035087711525e-06,0.00169267229420252,0.00206950584952504,0.0020961968529766,0.00103509926743737,0.00295590384964825,0.00156168312447918,-0.000322057559930702,0.00150349534921571,0.000951947486185162,0.00056496453325224,0.000921307122816389
