"","MMM","AXP","BA","CAT","KO","XOM","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","WMT","WBA","DOW"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00537313033315166
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0095633206017116
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00433232053474963
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00596358702987702
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00428736371836953
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00489593686771832
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00435249468029205
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00457351132700579
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00439558025261551
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00447441842601973
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00441568509365056
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00444345897807302
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442394297889474
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00443364102406711
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442712171057846
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00443048634950651
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442829938266803
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442946120685546
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442872513202911
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442912491085683
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442887652501607
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442901372733862
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442892974141397
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442897673606724
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442894829384071
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442896436661244
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442895472291508
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442896021383847
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442895694098775
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00442895881524915
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",-0.000640765701067345,5.75136248517887e-05,-0.000817907540510021,0.000959401076446803,0.000573281162691919,-0.00174012092370065,0.00140937717191415,0.000410811063335709,-0.00117476211619059,-0.000373190898446709,0.00349454288132757,0.00253144923441721,0.00492566816180207,0.0031827459679943,-0.00302847452578375,-0.00751971851276341,0.0025621086333081,0.00119959545117718,0.00426861881832096,-0.00342855909993008,0.00290231440716092,-0.00271242745895627,-0.00210445425877142,0.00256114521098784,0.000181378489952054,0.00268483869298028,0.00480221939029899,-0.00327228524604067,-0.00403314105310459,NA
"34",-0.000716019950734827,0.00333726553817183,-0.000316018726800072,0.00127209866010636,0.00100708125249942,0.00373456297267232,0.00163581885775334,0.000785914547512784,0.00197914070069359,0.00133273781169245,0.00211676009856807,0.00169281625019221,0.00676410673586424,0.00402604579337016,0.00505244124818211,0.00966006905960655,0.00322718147946303,0.0014254432494388,0.00636720144457266,-0.00263901321413989,0.00339631211540687,0.00289596493623661,-0.00284984651675621,0.00105821137558116,0.00121556827899039,0.00281388241602487,0.00981270106349994,0.00419634888590027,-0.00467166361485206,NA
"35",-0.000714573387831311,0.00140614813821678,-0.000282044162952916,0.00113404649133517,0.000200844995835853,-0.00111264919412922,0.0016962578294774,0.000885244624394446,0.000366253791197593,0.000949406353478743,0.00219442210659295,0.00190133439477085,0.00236245928572861,0.00407939290499203,-0.00272924722944105,-0.00574693032595911,0.00312964437534154,0.000930991493141086,0.0021385744272708,0.00282698223011577,0.0029339376715039,0.00209384681425529,-0.00254027601275906,0.00133677605277783,0.000845700296490539,0.00259303997345571,0.00950266677426188,-0.000162120607591867,-0.00477109950072236,NA
"36",-0.000714604057895414,0.00266480467801493,-0.000281227006252173,0.00116286302583476,0.000352186733250014,0.00306230050498471,0.0017330015677736,0.000908829421003743,0.00117091154529215,0.000987909322976712,0.00206048423084593,0.00204715503670291,0.00237649921232986,0.00388828035793536,0.000743611366413604,0.00788190295249929,0.00308448138950802,0.00100244959791223,0.00359692957529643,-0.000336333816301861,0.00287056824581734,0.0021994576666718,-0.00243573764693074,0.00128304248931267,0.00080082004077214,0.0026816069595625,0.00810627107538976,0.00261953220786982,-0.00478634860625924,NA
"37",-0.000714603433180722,0.00187093460481128,-0.000281310799730148,0.00115245299446075,0.000281152593687631,-0.00050337324080842,0.00175449122700434,0.00091471844010894,0.000769058254497878,0.000965774946868481,0.00203180723485074,0.00194667033880639,0.00136649249009374,0.00400089828647506,-0.00167469184348645,-0.00418387959768054,0.0031085519379014,0.00094802118066968,0.00364786199487088,-1.61092327361967e-05,0.00290418590533869,0.00218575084123362,-0.00237903247246692,0.00129321353929557,0.000826365715848051,0.00267315780689602,0.00679091313128062,0.000788677514670394,-0.00478870631743071,NA
"38",-0.000714603446112172,0.00237686423732518,-0.00028132252080444,0.00115494219834253,0.000301139257229441,0.00253388011948645,0.00176707484211298,0.000916154619362158,0.000969738620030142,0.000962827774259987,0.00200865732367628,0.00194218470597776,0.00127601687575223,0.00396424495377667,-0.000395441843094045,0.00649758709067659,0.00310650001352871,0.000960337018709461,0.00339583406576149,0.000617076131931984,0.00291098411438421,0.00218752510212567,-0.00235069069692496,0.00129127111932112,0.000827804506749827,0.0026631578631259,0.00579200052911455,0.0020055750495214,-0.00478906926869939,NA
"39",-0.000714603445846235,0.00205549787705698,-0.00028132322474505,0.00115413445780861,0.000293842458048719,-5.1097235774854e-05,0.00177444309184507,0.000916508732417584,0.0008695212413401,0.000960086220047427,0.00199894456443276,0.00196923262474071,0.00103556707902334,0.00396679366246821,-0.00119303285278006,-0.00295841531795255,0.00310443177873822,0.000953896637347039,0.00349446982064331,0.000192295693146829,0.00290865335228974,0.00218729554810634,-0.00233635529155762,0.00129164052295781,0.000826129160325724,0.00266945633593355,0.00508882522572656,0.00119430062168038,-0.00478912527168722,NA
"40",-0.000714603445851718,0.00225984307566482,-0.000281323235431908,0.0011543428946461,0.000296156676900768,0.00214836886480323,0.00177875752547187,0.000916595598278968,0.000919568599895317,0.000959056268491289,0.00199361342126262,0.00196158630791142,0.000992472418034331,0.00397197917563129,-0.000743278219407516,0.00541271649627578,0.00310526620570958,0.000955722591370986,0.00349254546947001,0.000261004238747576,0.00290799011559098,0.00218732524511149,-0.00232911733953476,0.00129157013210192,0.000826128932283818,0.0026679420966827,0.00460969857858522,0.00173565828206411,-0.00478913390224422,NA
"41",-0.000714603445851605,0.00212995047067304,-0.000281323233109883,0.00115427911956537,0.00029536637548134,0.000277078024383463,0.00178128381562883,0.000916616957928115,0.000894575548397277,0.000958528498631605,0.00199102547881675,0.0019571825389439,0.000933229375260395,0.00396817994236236,-0.00101274659961171,-0.00199801010611018,0.00310525083165787,0.000954923319678444,0.00347777237153778,0.000332099689893002,0.00290814177199153,0.00218732140332679,-0.00232546191718296,0.0012915835327977,0.000826233760646868,0.00266768269010293,0.00428813404285299,0.00137431171633993,-0.00478913523316254,NA
"42",-0.000714603445851608,0.00221252576456149,-0.000281323232841552,0.00115429629539408,0.000295625816005077,0.00186911714720849,0.00178276306934263,0.000916622204250008,0.000907056778998242,0.000958290362061534,0.00198969957792296,0.00196056073903998,0.000917831919187166,0.00396965123385775,-0.000857144181945112,0.00456249687893122,0.0031051627757275,0.000955178338326275,0.00348433001225439,0.000276051699034802,0.00290820255546486,0.00218732190032179,-0.00232361587313521,0.00129158098051477,0.000826228156758007,0.00266805340530174,0.00407388068539325,0.00161552498957882,-0.00478913543833178,NA
