"Index","AA","AAPL","AIG","AMGN","AXP","BA","BAC","C","CAT","CRM","CSCO","CVX","DD","DIS","DOW","GE","GM","GS","HD","HON","HPQ","IBM","INTC","JNJ","JPM","KO","MCD","MDLZ","MMM","MO","MRK","MSFT","NKE","PFE","PG","RTX","T","TRV","UNH","V","VZ","WBA","WMT","XOM"
"2005-01-03",60.329967,0.963385,844.171021,48.184601,37.278553,35.678852,31.39403,333.792938,29.724922,4.15,13.719709,25.966305,40.590164,22.612066,NA,171.461472,NA,81.658195,27.925758,22.386787,6.524953,55.743156,13.828915,37.83062,24.0851,12.056695,19.281855,14.495205,50.086792,5.131814,15.357318,18.860823,9.136414,12.370647,33.31879,21.538584,5.20195,24.076845,35.557579,NA,15.386233,27.142046,36.451786,27.579288
"2005-01-04",59.239758,0.973279,846.983765,47.419991,36.718464,34.985863,30.961571,330.957733,29.396631,4.09,13.18001,25.787752,39.712059,22.36849,NA,169.399658,NA,81.129112,27.569395,21.987257,6.48156,55.144367,13.553175,37.710312,23.836847,11.888353,19.439407,14.437019,49.679512,5.167364,15.293441,18.931356,9.006456,12.370647,32.902229,21.289745,5.147065,23.941113,35.192242,NA,15.230426,26.947117,36.362961,27.392092
"2005-01-05",58.889343,0.981803,861.046753,46.670383,36.377686,35.566849,30.603439,335.10675,28.833838,4.4875,13.187108,25.9561,39.309937,22.2467,NA,168.368729,NA,80.763458,27.316711,21.923838,6.509458,55.030331,13.421305,37.686272,23.886511,11.833208,19.287914,14.320661,49.071651,5.158053,15.396616,18.889034,8.89866,12.286459,33.246342,21.130823,5.171459,23.902338,35.315411,NA,15.207626,27.639456,36.410801,27.248926
"2005-01-06",59.142418,0.982564,862.452942,47.105152,36.190567,35.335854,30.556128,338.356873,29.259056,4.43,13.385947,26.389725,39.761299,22.279175,NA,169.7276,NA,81.876045,26.90851,21.777969,6.497062,54.859238,13.463258,37.794525,24.023029,11.93189,19.439407,14.328969,49.515385,5.121656,15.504702,18.86787,8.887582,12.295807,33.409351,21.14337,5.199919,24.012217,36.095333,NA,15.175015,27.652899,36.93008,27.59581
"2005-01-07",59.745914,1.054106,863.987183,47.202618,35.923286,35.21685,30.225019,336.420715,29.196516,4.3875,13.293633,26.093845,39.383781,22.059956,NA,168.696732,NA,81.525887,26.837236,21.695524,6.459864,54.619762,13.667065,37.656189,23.83066,11.946405,19.312153,14.320661,50.025982,5.196987,15.293441,18.811447,8.835191,12.300488,33.759506,20.91543,5.185446,23.902338,35.807991,NA,15.121293,27.894871,36.88908,27.414104
"2005-01-10",59.317635,1.049692,865.521362,47.704842,35.996784,35.685841,30.603439,334.276917,28.927622,4.245,13.293633,26.211168,39.966454,22.149269,NA,168.274994,NA,81.681519,27.08345,21.625765,6.450563,54.562683,13.715027,37.950897,23.749975,12.013157,19.190962,14.308195,51.022861,5.264701,15.475223,18.903145,8.922841,12.365962,34.025143,20.856886,5.14823,23.960508,35.959892,NA,14.975496,27.988977,36.704594,27.518719
"2005-01-11",57.721302,0.982716,858.489929,47.809792,35.662685,35.573849,30.529089,333.447174,28.527441,4.105,13.236818,26.221378,39.145794,22.092438,NA,165.88504,NA,81.051292,27.025145,21.562334,6.214983,54.174931,13.511217,37.818581,23.520359,11.946405,18.845556,14.229236,51.490902,5.213918,15.313097,18.853767,8.880529,12.230331,33.988911,20.944706,5.09654,24.109165,35.922928,NA,14.810507,28.009142,36.615772,27.447134
"2005-01-12",57.293007,0.996416,853.75946,48.626854,35.582489,36.357838,30.448011,332.409882,28.88073,3.775,13.442759,26.777435,39.679226,22.506516,NA,167.197205,NA,80.351044,27.342617,22.183853,6.211883,54.294701,13.88286,38.083214,23.576218,11.946405,18.990988,14.225079,51.64286,5.216456,15.26889,18.889034,8.924851,12.174206,34.115685,21.316935,5.129623,24.264294,36.161015,NA,14.668535,28.177189,36.950573,27.854607
"2005-01-13",57.429268,1.062478,843.787537,47.892246,35.335251,35.440857,30.069616,329.159821,29.033932,3.8125,13.336234,26.558071,39.720234,22.530872,NA,165.088486,NA,80.094269,27.038101,21.930174,6.183987,53.861294,13.679055,37.271259,23.439678,11.8245,18.718296,14.191836,50.931671,5.273166,15.057638,18.529312,8.867429,11.846817,33.524048,21.03672,5.051054,24.102703,36.288273,NA,14.234975,27.746992,36.64994,27.832567
"2005-01-14",58.207981,1.068566,845.577148,47.832283,35.228348,35.636848,30.333153,328.537476,29.293451,3.75,13.40725,26.680513,40.860973,22.977428,NA,166.447495,NA,81.090218,27.148241,22.412153,6.221182,53.661716,13.798948,37.710312,23.4645,11.89126,18.972811,14.225079,51.041096,5.362038,15.16572,18.423519,8.961123,11.809407,33.735367,21.107815,5.046919,24.231966,36.764454,NA,14.135208,27.982262,36.88908,28.118877
"2005-01-18",57.954895,1.075417,865.521362,48.094639,35.515671,36.31583,30.900749,333.10144,29.057919,3.7625,13.307835,27.083521,41.008694,23.334675,NA,168.509247,NA,81.69709,27.316711,22.735586,6.332774,54.117908,13.750991,37.908798,23.83066,11.972524,19.148542,14.308195,49.855782,5.413672,15.376966,18.564577,8.935943,11.832788,33.801769,21.371302,5.144094,24.522835,36.452499,NA,14.45751,29.010674,37.230717,28.355631
"2005-01-19",56.806305,1.063695,856.699768,47.584908,35.455536,35.986843,30.387196,332.202454,28.737602,3.7475,12.888858,26.879461,40.434238,23.139812,NA,166.072586,NA,80.965714,27.08345,22.431181,6.286276,53.09145,13.547184,37.78249,23.483116,11.928986,19.160654,14.26664,49.94696,5.379814,15.23941,18.324766,8.920826,11.636352,34.371796,21.130823,5.125487,23.915264,36.239017,NA,14.062304,28.923283,36.74559,28.107857
"2005-01-20",55.871857,1.072524,850.818726,46.895279,35.014515,35.629841,30.616961,330.335419,28.288523,3.6525,13.009579,26.507059,40.319347,23.156055,NA,165.744507,NA,80.452202,26.662315,22.30434,6.205683,53.034424,13.535191,37.58403,23.116968,11.995749,19.057644,14.179367,50.421097,5.340879,15.096936,18.24012,8.744525,11.683129,34.383934,20.865244,5.059327,23.566223,35.561695,NA,13.916506,28.95018,36.465443,27.92617
"2005-01-21",56.319626,1.072981,845.321533,46.902763,34.700466,35.048832,30.468279,331.441772,28.021603,3.6125,12.789439,26.517252,40.06493,22.855648,NA,164.619827,NA,80.59259,26.500322,22.190191,6.196386,52.680836,13.439283,37.199089,22.868736,11.87384,18.936453,14.117039,49.399895,5.311255,14.915174,18.092005,8.694154,11.449273,33.747181,20.92798,5.082069,23.398176,36.473011,NA,14.004756,28.378836,36.219494,27.771997
"2005-01-24",56.085991,1.07709,848.645447,46.565449,35.148159,34.747856,30.556128,334.415314,27.673018,3.475,12.604807,26.818247,39.498669,22.693258,NA,165.22905,NA,80.522362,26.169876,22.30434,6.165387,52.344383,13.181525,36.98259,22.887362,11.888353,19.233374,13.880154,49.61264,5.261316,14.664617,18.106106,8.695157,11.346376,33.48035,20.702139,5.073795,23.895874,36.226707,NA,14.139047,28.029312,36.260471,28.151905
