"Index","AA","AAPL","AIG","AMGN","AXP","BA","BAC","C","CAT","CRM","CSCO","CVX","DD","DIS","DOW","GE","GM","GS","HD","HON","HPQ","IBM","INTC","JNJ","JPM","KO","MCD","MDLZ","MMM","MO","MRK","MSFT","NKE","PFE","PG","RTX","T","TRV","UNH","V","VZ","WBA","WMT","XOM"
"2005-01-03",74.468971,1.130179,1320.599976,64.279999,48.938023,50.970001,46.459999,482.700012,47.535,4.15,19.32,50.900002,70.39492,27.474026,NA,219.720169,NA,104.949997,43.099998,33.653942,9.559491,93.451241,23.07,62.900002,39.150002,20.77,31.82,34.880001,82.400002,60.630001,29.828243,26.74,11.33625,25.094877,55.189999,32.41032,19.327795,37.25,43.310001,NA,36.413578,40.380001,53.349998,50.09
"2005-01-04",73.123291,1.141786,1325,63.259998,48.20277,49.98,45.82,478.600006,47.009998,4.09,18.559999,50.549999,68.872025,27.178076,NA,217.078003,NA,104.269997,42.549999,33.053322,9.495913,92.447418,22.610001,62.700001,38.41,20.48,32.080002,34.740002,81.730003,61.049999,29.704199,26.84,11.175,25.094877,54.5,32.035873,19.123867,37.040001,42.865002,NA,36.044857,40.09,53.220001,49.75
"2005-01-05",72.69075,1.151786,1347,62.259998,47.651333,50.810001,45.290001,484.600006,46.110001,4.4875,18.57,50.880001,68.174622,27.0301,NA,215.756927,NA,103.800003,42.16,32.957985,9.536785,92.25621,22.389999,62.66,38.490002,20.385,31.83,34.459999,80.730003,60.939999,29.904579,26.780001,11.04125,24.924099,55.07,31.796728,19.214502,36.98,43.014999,NA,35.990898,41.119999,53.290001,49.490002
"2005-01-06",73.003143,1.152679,1349.199951,62.84,47.406246,50.48,45.220001,489.299988,46.790001,4.43,18.85,51.73,68.95742,27.069559,NA,217.498352,NA,105.230003,41.529999,32.738708,9.518619,91.969406,22.459999,62.84,38.709999,20.555,32.080002,34.48,81.459999,60.509998,30.114504,26.75,11.0275,24.943073,55.34,31.815607,18.995468,37.150002,43.965,NA,35.568214,41.139999,54.049999,50.119999
"2005-01-07",73.74807,1.236607,1351.599976,62.970001,47.056129,50.310001,44.73,486.5,46.689999,4.3875,18.719999,51.150002,68.302711,26.803205,NA,216.177261,NA,104.779999,41.419998,32.614773,9.464124,91.567879,22.799999,62.610001,38.400002,20.58,31.870001,34.459999,82.300003,61.400002,29.704199,26.67,10.9625,24.952562,55.919998,31.472624,18.942598,36.98,43.615002,NA,35.44231,41.5,53.990002,49.790001
"2005-01-10",73.219414,1.231429,1354,63.639999,47.152412,50.98,45.290001,483.399994,46.259998,4.245,18.719999,51.380001,69.31324,26.91172,NA,215.636826,NA,104.980003,41.799999,32.509899,9.4505,91.472275,22.879999,63.099998,38.27,20.695,31.67,34.43,83.940002,62.200001,30.057253,26.799999,11.07125,25.085388,56.360001,31.38452,18.806646,37.07,43.799999,NA,35.100567,41.639999,53.720001,49.98
"2005-01-11",71.248947,1.152857,1343,63.779999,46.71476,50.82,45.18,482.200012,45.619999,4.105,18.639999,51.400002,67.889969,26.842665,NA,212.57431,NA,104.169998,41.709999,32.414562,9.105359,90.822182,22.540001,62.880001,37.900002,20.58,31.1,34.240002,84.709999,61.599998,29.742367,26.73,11.01875,24.810247,56.299999,31.516678,18.617825,37.299999,43.755001,NA,34.71386,41.669998,53.59,49.849998
"2005-01-12",70.720291,1.168929,1335.599976,64.870003,46.609726,51.939999,45.060001,480.700012,46.185001,3.775,18.93,52.490002,68.815094,27.345779,NA,214.255692,NA,103.269997,42.200001,33.348866,9.100817,91.022942,23.16,63.32,37.990002,20.58,31.34,34.23,84.959999,61.630001,29.656488,26.780001,11.07375,24.696396,56.509998,32.076778,18.73867,37.540001,44.044998,NA,34.381107,41.919998,54.080002,50.59
"2005-01-13",70.888496,1.246429,1320,63.889999,46.285866,50.630001,44.5,476,46.43,3.8125,18.780001,52.060001,68.886253,27.375376,NA,211.553467,NA,102.940002,41.73,32.967518,9.059946,90.296364,22.82,61.970001,37.77,20.370001,30.889999,34.150002,83.790001,62.299999,29.246183,26.27,11.0025,24.032257,55.529999,31.655128,18.451662,37.290001,44.200001,NA,33.364876,41.279999,53.639999,50.549999
"2005-01-14",71.849701,1.253571,1322.800049,63.810001,46.145817,50.91,44.889999,475.100006,46.845001,3.75,18.879999,52.299999,70.864601,27.91795,NA,213.294907,NA,104.220001,41.900002,33.692078,9.114441,89.961761,23.02,62.700001,37.810001,20.485001,31.309999,34.23,83.970001,63.349998,29.456106,26.120001,11.11875,23.956356,55.880001,31.762115,18.436556,37.490002,44.779999,NA,33.13105,41.630001,53.990002,51.07
"2005-01-18",71.537308,1.261607,1354,64.160004,46.522194,51.880001,45.73,481.700012,46.264999,3.7625,18.74,53.09,71.120789,28.352011,NA,215.937073,NA,105,42.16,34.178295,9.277929,90.726578,22.940001,63.029999,38.400002,20.625,31.6,34.43,82.019997,63.959999,29.866411,26.32,11.0875,24.003796,55.990002,32.158588,18.79154,37.939999,44.400002,NA,33.886482,43.16,54.490002,51.5
"2005-01-19",70.119537,1.247857,1340.199951,63.48,46.443417,51.41,44.970001,480.399994,45.755001,3.7475,18.15,52.689999,70.124504,28.11525,NA,212.814514,NA,104.059998,41.799999,33.72068,9.209809,89.005737,22.6,62.82,37.84,20.549999,31.620001,34.330002,82.169998,63.560001,29.599237,25.98,11.06875,23.605312,56.68,31.796728,18.723564,37,44.139999,NA,32.960178,43.029999,53.779999,51.049999
